Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Evolution Surface agricole utilisée (SAU) (2010-2020) 2020
200059871;CC du Centre-Ouest;N/A - résultat non disponible
200059889;CU Grand Paris Seine et Oise;1.4
200060010;CA Mauges Communauté;-0.8
200060457;CA de Dembeni / Mamoudzou;N/A - résultat non disponible
200060465;CA du Grand Nord de Mayotte;N/A - résultat non disponible
200060473;CC du Sud;N/A - résultat non disponible
200065563;CC Normandie-Cabourg-Pays d'Auge;-6
200065589;CC Val ès Dunes;-8.6
200065597;CU Caen la Mer;-10.3
200065647;CA Pays de Montbéliard Agglomération;-1.4
200065787;CC de Pont-Audemer / Val de Risle;-5.5
200065886;Loire Forez Agglomération (LFA);-0.8
200065894;CC de Forez-Est;-1
200065928;CA Lannion-Trégor Communauté;-0.2
200066009;CA Mulhouse Alsace Agglomération;-1.3
200066017;CC Lieuvin Pays d'Auge;-1.6
200066025;CC Alsace Rhin Brisach;0.7
200066033;CC Sud Alsace Largue;-3.1
200066041;CC Sundgau;1.2
200066058;CA Saint-Louis Agglomération;-10.5
200066108;CC des Portes de Meuse;-2.2
200066116;CC Argonne-Meuse;0
200066124;CA Gaillac-Graulhet;0.1
200066132;CC du Pays de Stenay et du Val Dunois;-3.9
200066140;CC de l'Aire à l'Argonne;2.6
200066157;CC de Commercy - Void - Vaucouleurs;4.4
200066165;CC Val de Meuse - Voie Sacrée;-1.7
200066173;CC de Damvillers Spincourt;0.3
200066223;CC Arize Lèze;-2
200066231;CC des Portes d'Ariège Pyrénées;5.3
200066280;CC du Pithiverais;4
200066322;CC Terres des Confluences;-3.2
200066330;CC Terres du Haut Berry;0.2
200066348;CC du Minervois au Caroux;-4.8
200066355;CA Sète Agglopôle Méditerranée;-39.7
200066363;CC de la Haute Ariège;-10.6
200066371;CC Causses et Vallée de la Dordogne;-6.7
200066389;CA Saint-Lô Agglo;-1.6
200066405;CC Roumois Seine;-1.7
200066413;CC Intercom Bernay Terres de Normandie;-1.9
200066462;CC Interco Normandie Sud Eure;-1.7
200066512;CC Élan Limousin Avenir Nature;-2.3
200066520;CC Ouest Limousin;1.4
200066553;CC du Haut-Languedoc;-0.6
200066561;CC Sidobre Vals et Plateaux;-5.5
200066587;CC des Monts du Lyonnais;-0.9
200066603;CC du Pays de Lubersac-Pompadour;-4.3
200066637;CC Hautes Terres;1.2
200066645;CC Vézère-Monédières-Millesources;-5.6
200066652;CC Grand Sud Tarn-et-Garonne;4.9
