date_mesure,geocode_epci,libelle_epci,numerateur,denominateur,valeur
2014-01-01T00:00:00.000,200068674,Communauté d'agglomération Grand Lac,581.24,8174.964838255978,7.109999999999999
2013-01-01T00:00:00.000,200066769,Communauté de communes Midi Corrézien,771.39,18193.16037735849,4.24
2024-01-01T00:00:00.000,245614417,Communauté de communes Roi Morvan Communauté,5007.95,42261.18143459916,11.85
2014-01-01T00:00:00.000,246600423,Communauté de communes Agly Fenouillèdes,2797.839,6057.239662264559,46.190000000000005
2024-01-01T00:00:00.000,200067163,"Communauté de communes Monts, Rance et Rougier",4002.817,26828.53217158177,14.92
2022-01-01T00:00:00.000,247600620,Communauté de communes Yvetot Normandie,19.323,12076.875,0.16
2014-01-01T00:00:00.000,200067205,Communauté d'agglomération du Cotentin,3737.995,91170.60975609758,4.1
2010-01-01T00:00:00.000,200069227,Communauté de communes Pays Fort Sancerrois Val de Loire,799.408,43683.497267759565,1.83
2018-01-01T00:00:00.000,200037133,Communauté de communes du Provinois,249.221,48866.862745098035,0.51
2021-01-01T00:00:00.000,243400819,Communauté d'agglomération Hérault-Méditerranée,2637.961,19954.31921331316,13.22
2012-01-01T00:00:00.000,200030385,Communauté d'agglomération de Blois «Agglopolys»,1044.347,39114.11985018727,2.6699999999999995
2016-01-01T00:00:00.000,242504371,Communauté de communes du Pays de Sancey-Belleherbe,288.55,11923.553719008265,2.42
2008-01-01T00:00:00.000,200069995,Communauté de communes Médoc Cœur de Presqu'île,126.334,18855.82089552239,0.6699999999999999
2009-01-01T00:00:00.000,244200770,Saint-Etienne Métropole,1092.34,25823.64066193853,4.23
2022-01-01T00:00:00.000,247000664,Communauté de communes du Pays de Lure,877.746,5774.644736842105,15.2
2023-01-01T00:00:00.000,240200444,Communauté de communes de la Thiérache du Centre,2621.107,53821.498973305956,4.87
2019-01-01T00:00:00.000,243301447,Communauté de communes Médoc Estuaire,935.63,5895.589161940769,15.869999999999997
2016-01-01T00:00:00.000,200067304,Communauté de communes Serein et Armance,918.756,27673.3734939759,3.32
2011-01-01T00:00:00.000,200067437,Communauté d'agglomération Provence-Alpes-Agglomération,5077.37,36712.72595806218,13.83
2023-01-01T00:00:00.000,200067155,"Communauté de communes Saint Affricain, Roquefort, Sept Vallons",2468.239,18558.187969924813,13.299999999999999
2010-01-01T00:00:00.000,241400555,Communauté de communes de Bayeux Intercom,193.915,14471.268656716416,1.34
2008-01-01T00:00:00.000,200040418,Communauté de communes du Pays de Serres en Quercy,697.125,27996.987951807227,2.49
2015-01-01T00:00:00.000,200069151,Communauté de communes Gorges Causses Cévennes,5837.007,35831.84162062615,16.29
