Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Nombre de licenciés sportifs pour 100 habitants 2022
200039808;CC des Gorges de l'Ardèche;22
200039824;CC Ardèche des Sources et Volcans;19.2
200039832;CC Pays des Vans en Cévennes;16.3
200039857;CA du Pays de Grasse;24.2
200039865;Metz Métropole;21.4
200039907;CC du Sud Messin;30
200039915;CA Cannes Pays de Lérins;20.5
200039931;CC Alpes d'Azur;15.1
200039949;CC Rives de Moselle;19.1
200040038;CC Saône Doubs Bresse;19.4
200040095;CC Isle Vern Salembre en Périgord;23.2
200040111;CC Coeur de Chartreuse;26
200040137;CC des Lacs de Champagne;17
200040178;CC de l'Outre-Forêt;22.1
200040202;CC Provence Verdon;15.7
200040210;CC Lacs et Gorges du Verdon;14.9
200040244;CA du Bocage Bressuirais;28.6
200040251;CC Bassée-Montois;13.8
200040277;CA Agglo du Pays de Dreux;20.3
200040293;CC du Clunisois;18.2
200040350;CC Bugey Sud;22
200040384;CC Isle Double Landais;16.7
200040392;CA Le Grand Périgueux;25.1
200040400;CC du Périgord Ribéracois;17.3
