Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Taux de pauvreté (seuil à 60% du revenu médian) 2021
200068005;CC de l'Oise Picarde;12.7
200068047;CA Creil Sud Oise;31.2
200068070;CC Loue-Lison;8.5
200068088;CC Les Bertranges;12.7
200068096;CC Champsaur-Valgaudemar;14.8
200068104;CA de la Provence Verte;13.9
200068112;CC du Pays de Saverne;9.6
200068120;CA Quimper Bretagne Occidentale;11.4
200068146;CC Sarrebourg Moselle Sud;12.3
200068229;CC des Baronnies en Drôme Provençale;20.9
200068278;CC Berry Loire Puisaye;15.5
200068294;CC des Deux Vallées Vertes;12.6
200068369;CC de Mirecourt Dompaire;13
200068377;CC de la Porte des Vosges Méridionales;14.8
200068435;CC Coeur du Perche;12
200068443;CC Andaine - Passais;14.5
200068450;Terres d'Argentan Interco;16
200068468;CC des Pays de L'Aigle;16.9
200068484;CC des Causses à l'Aubrac;14.2
200068500;CA de Cambrai;16.8
200068534;CC Terroir de Caux;9.2
200068542;CC Les Balcons du Dauphiné;7.1
200068559;CC de l'Ouest Vosgien;15.9
200068567;CC Les Vals du Dauphiné;10.3
200068625;CC Alpes-Provence-Verdon "Sources de lumière";21.5
200068641;CA Le Muretain Agglo;11
200068658;CA de Chaumont;13.7
200068666;CA du Grand Saint-Dizier Der et Vallées;17.8
200068674;CA Grand Lac;9.3
200068682;CC Terre d'Eau;12
200068757;CA d'Epinal;15.8
200068765;CC du Sisteronais-Buëch;18.3
200068773;CC des Vosges côté Sud Ouest;17.2
200068781;CA Valence Romans Agglo;15
200068799;CC Intercom de la Vire au Noireau;14.3
200068807;CC du Bassin Auterivain Haut-Garonnais;10.2
200068815;CC Coeur de Garonne;12
200068831;Pays Ségali Communauté;12.3
200068856;CC des Hauts du Perche;15.7
200068864;CC de la Mossig et du Vignoble;6.7
200068872;CC Éguzon - Argenton - Vallée de la Creuse;15.5
200068880;CC Champagne Boischauts;10.8
200068914;CC La Rochefoucauld Porte du Périgord;13
200068922;CC du Confluent et des Coteaux de Prayssas;19.6
200068930;CC Fumel Vallée du Lot;19.1
200068948;CC Albret Communauté;16.6
200068955;CC Anjou Loir et Sarthe;8.6
