Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Municipales - Taux de participation au 1er tour 2020
200027076;CC Arnon Boischaut Cher;55.5
200027100;CC Méditerranée Porte des Maures;48.2
200027183;CU Perpignan Méditerranée Métropole;46.8
200027217;CC Sarlat-Périgord Noir;55.4
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;70.3
200027548;CC des Savanes;57.6
200029734;CC des 4B Sud Charente;51
200029999;CC Rives de l'Ain - Pays du Cerdon;47.5
200030195;Métropole Nice Côte d'Azur;35
200030385;CA de Blois ''Agglopolys'';41.5
200030435;CC d'Aire-sur-l'Adour;62.2
200030526;CC du Ried de Marckolsheim;40.9
200030633;CA du Caudrésis et du Catésis;52.8
200030658;CC du Trièves;67.4
200030674;CA Val de Garonne Agglomération;49.9
200032514;CC Berry-Loire-Vauvise;59.5
200033025;CA de Bar-le-Duc - Sud Meuse;45.8
200033090;CC Plaines et Monts de France;48.9
200033116;CC Cluses-Arve et Montagnes;42.2
200033173;CC de la Haute Vallée de Chevreuse;47.1
200033181;CA Chartres Métropole;42.2
200033298;CC des Coëvrons;39.6
200033579;CU d'Arras;43.7
200033827;CC de Fium'Orbu Castellu;66.9
200033868;CC des Ballons des Hautes-Vosges;39.8
200034023;CC Tarn-Agout;52.2
200034031;CC des Monts d'Alban et du Villefranchois;65.7
200034049;CC Centre Tarn;55.6
200034056;CC du Lautrécois et du Pays d'Agout;58.7
200034064;CC du Cordais et du Causse;68.7
200034098;CC des Montagnes du Giffre;58.9
200034130;CC Gally Mauldre;44.5
200034197;CC de Montaigne Montravel et Gurson;52.9
200034205;CC de la Costa Verde;65.4
200034270;CC du Pays de Barr;45.7
200034379;CC Pays d'Uzès;53.6
200034411;CC du Piémont Cévenol;57.3
200034601;CC Causses Aigoual Cévennes;74.5
200034635;CC du Kochersberg;47.4
200034692;CA du Gard Rhodanien;49.4
200034700;CA Durance-Lubéron-Verdon Agglomération;46.5
200034718;CC de Vitry, Champagne et Der;50.4
200034726;CC Bastides de Lomagne;64.2
