SIREN,Nom de l'EPCI,Nature de l'EPCI,Superficie de l'EPCI (km²),Superficie des territoires artificialisés* (km²),Part de la superficie artificialisée,,* Les donnes proviennent de Corine Land Cover millésime 2018
200041051,CC Vallée de la Dordogne et Forêt Bessède,Communauté de communes,"256,331","3,914","1,53 %",,
200041150,CC Terrassonnais Haut Périgord Noir,Communauté de communes,"582,429","17,142","2,94 %",,
200041168,CC de la Vallée de l'Homme,Communauté de communes,"537,739","10,064","1,87 %",,
200041283,CC de la Plaine du Rhin,Communauté de communes,"149,213","17,157","11,50 %",,
200041317,CA du Niortais,Communauté d'agglomération,"821,012","81,772","9,96 %",,
200041325,CC du Pays Rhénan,Communauté de communes,"163,196","22,204","13,61 %",,
200041333,CC de Parthenay-Gâtine,Communauté de communes,"841,334","27,987","3,33 %",,
200041366,CC Rhône Crussol,Communauté de communes,"201,95","17,832","8,83 %",,
200041416,CC Airvaudais-Val du Thouet,Communauté de communes,"228,577","10,045","4,39 %",,
200041440,CC de Domme-Villefranche du Périgord,Communauté de communes,"385,664","3,9","1,01 %",,
200041465,CC Val Eyrieux,Communauté de communes,"513,018","6,85","1,34 %",,
200041499,CC Aunis Atlantique,Communauté de communes,"441,549","17,442","3,95 %",,
200041515,CC du Bassin de Pont-à-Mousson,Communauté de communes,"269,14","25,14","9,34 %",,
200041523,CC de la Haute Saintonge,Communauté de communes,"1795,733","45,995","2,56 %",,
200041556,CC Portes de la Creuse en Marche,Communauté de communes,"346,581","4,578","1,32 %",,
200041572,CC Dronne et Belle,Communauté de communes,"521,962","4,792","0,92 %",,
200041614,CC Aunis Sud,Communauté de communes,"466,414","20,137","4,32 %",,
200041622,CC Ardennes Thiérache,Communauté de communes,"433,136","12,285","2,84 %",,
200041630,CA Ardenne Métropole,Communauté d'agglomération,"568,195","65,927","11,60 %",,
200041689,CC Vals de Saintonge Communauté,Communauté de communes,"1426,456","38,069","2,67 %",,
200041721,CC de la Haute Comté,Communauté de communes,"444,997","19,877","4,47 %",,
200041762,CA Rochefort Océan,Communauté d'agglomération,"427,063","39,947","9,35 %",,
200041853,CC du Pays de Montbozon et du Chanois,Communauté de communes,"239,087","5,989","2,50 %",,
200041861,CC du Triangle Vert,Communauté de communes,"371,989","14,534","3,91 %",,
200041879,CC Terres de Saône,Communauté de communes,"381,895","14,14","3,70 %",,
200041887,CC du Val Marnaysien,Communauté de communes,"303,868","16,084","5,29 %",,
200041960,CC Pévèle-Carembault,Communauté de communes,"311,322","51,531","16,55 %",,
200041994,CC Haut Val de Sèvre,Communauté de communes,"347,633","26,714","7,68 %",,
200042000,CC Bruyères-Vallons des Vosges,Communauté de communes,"221,665","11,739","5,30 %",,
200042174,CA Lorient Agglomération,Communauté d'agglomération,"736,727","101,197","13,74 %",,
200042182,CC du Mont des Avaloirs,Communauté de communes,"547,664","9,475","1,73 %",,
200042190,CA de la Porte du Hainaut,Communauté d'agglomération,"372,659","87,165","23,39 %",,
200042372,CC des Coteaux Arrats Gimone,Communauté de communes,"403,693","3,77","0,93 %",,
200042414,CC Bresse Revermont 71,Communauté de communes,"283,602","9,471","3,34 %",,
200042463,CC de la Montagne Noire,Communauté de communes,"296,952","4,866","1,64 %",,
200042497,CC Dombes Saône Vallée,Communauté de communes,"181,094","25,071","13,84 %",,
200042604,"CC de Granville, Terre et Mer",Communauté de communes,"285,981","31,418","10,99 %",,
200042620,CC de la Région de Suippes,Communauté de communes,"479,275","8,841","1,84 %",,
200042646,CC Grand Orb communauté de communes en Languedoc,Communauté de communes,"459,329","12,472","2,72 %",,
200042653,CC Sud-Hérault,Communauté de communes,"313,751","9,737","3,10 %",,
200042703,CC de l'Argonne Champenoise,Communauté de communes,"833,741","14,167","1,70 %",,
200042729,CC de la Baie du Cotentin,Communauté de communes,"450,083","15,312","3,40 %",,
200042901,CC Drôme Sud Provence,Communauté de communes,"289,905","32,874","11,34 %",,
200042935,CA Haut - Bugey Agglomération,Communauté d'agglomération,"691,238","42,723","6,18 %",,
200042992,CC Perthois-Bocage et Der,Communauté de communes,"288,383","9,684","3,36 %",,
200043016,CC Val de Charente,Communauté de communes,"423,236","17,525","4,14 %",,
200043065,CC du Val d'Amboise,Communauté de communes,"253,57","18,697","7,37 %",,
200043081,"CC Chinon, Vienne et Loire",Communauté de communes,"348,252","25,997","7,46 %",,
200043123,CC Auray Quiberon Terre Atlantique,Communauté de communes,"532,994","65,148","12,22 %",,
200043156,CC du Pays Rethélois,Communauté de communes,"815,062","27,246","3,34 %",,
200043172,CA du Bassin de Brive,Communauté d'agglomération,"809,194","69,401","8,58 %",,
200043263,CC Cœur de l'Avesnois,Communauté de communes,"418,335","19,641","4,70 %",,
200043321,CC du Pays de Mormal,Communauté de communes,"467,044","34,392","7,36 %",,
200043354,CC de Villedieu Intercom,Communauté de communes,"296,504","9,802","3,31 %",,
200043396,CA Maubeuge Val de Sambre,Communauté d'agglomération,"344,783","67,405","19,55 %",,
200043404,CC du Sud Avesnois,Communauté de communes,"179,234","15,325","8,55 %",,
200043438,CC de la Moivre à la Coole,Communauté de communes,"492,238","14,548","2,96 %",,
200043495,CA du Pays de Laon,Communauté d'agglomération,"318,373","32,767","10,29 %",,
200043602,"CC des Albères, de la Côte Vermeille et de l'Illibéris",Communauté de communes,"293,119","33,616","11,47 %",,
200043628,CC des Vallées du Clain,Communauté de communes,"377,749","19,642","5,20 %",,
200043693,CC Terre Lorraine du Longuyonnais,Communauté de communes,"243,65","10,184","4,18 %",,
200043776,CC Pyrénées Audoises,Communauté de communes,"943,824","9,693","1,03 %",,
200043974,CC du Sud Gironde,Communauté de communes,"826,559","26,177","3,17 %",,
200043982,CC du Bazadais,Communauté de communes,"607,859","11,284","1,86 %",,
200043990,CC Vallons de Haute-Bretagne Communauté,Communauté de communes,"504,472","22,234","4,41 %",,
200044014,CC Creuse Grand Sud,Communauté de communes,"615,423","7,214","1,17 %",,
200044030,CC des 7 Vallées,Communauté de communes,"500,189","31,24","6,25 %",,
200044048,CC Osartis Marquion,Communauté de communes,"332,012","32,665","9,84 %",,
200044253,CC du Bassin de Joinville en Champagne,Communauté de communes,"698,669","11,827","1,69 %",,
200044394,CC du Réolais en Sud Gironde,Communauté de communes,"326,094","14,357","4,40 %",,
200044469,CC du Pays de Mirepoix,Communauté de communes,"336,476","6,092","1,81 %",,
200044618,CA Douaisis Agglo,Communauté d'agglomération,"235,836","76,108","32,27 %",,
200046977,Métropole de Lyon,Métropole,"538,383","335,209","62,26 %",,
200048551,CC du Pays de Craon,Communauté de communes,"646,828","19,815","3,06 %",,
200049187,CA du Grand Verdun,Communauté d'agglomération,"301,214","19,833","6,58 %",,
200049211,CC Conflent-Canigó,Communauté de communes,"783,949","10,949","1,40 %",,
200049484,CC Berry Grand Sud,Communauté de communes,"860,451","10,235","1,19 %",,
200054781,Métropole du Grand Paris,Métropole,"815,092","732,65","89,89 %",,
200054807,Métropole d'Aix-Marseille-Provence,Métropole,"3149,917","722,248","22,93 %",,
200055481,CC Beauce Val de Loire,Communauté de communes,"518,69","17,184","3,31 %",,
200055655,CA Roissy Pays de France,Communauté d'agglomération,"342,368","127,492","37,24 %",,
200055887,CC Mayenne Communauté,Communauté de communes,"626,901","22,066","3,52 %",,
200056232,CA Communauté Paris-Saclay,Communauté d'agglomération,"186,933","105,771","56,58 %",,
200056380,CA Plaine Vallée,Communauté d'agglomération,"74,767","40,049","53,57 %",,
200057859,CA Cœur d'Essonne Agglomération,Communauté d'agglomération,"133,517","71,165","53,30 %",,
200057867,Plaine Commune,Etablissement public territorial,"47,433","46,159","97,31 %",,
200057875,Est Ensemble,Etablissement public territorial,"39,197","38,769","98,91 %",,
200057941,Paris Est Marne et Bois,Etablissement public territorial,"56,319","56,148","99,70 %",,
200057958,CA Paris - Vallée de la Marne,Communauté d'agglomération,"96,257","57,76","60,01 %",,
200057966,Vallée Sud-Grand Paris,Etablissement public territorial,"47,37","43,387","91,59 %",,
200057974,Grand Paris Seine Ouest,Etablissement public territorial,"36,594","24,977","68,25 %",,
200057982,Paris Ouest La Défense,Etablissement public territorial,"59,191","55,432","93,65 %",,
200057990,Boucle Nord de Seine,Etablissement public territorial,"49,867","47,047","94,34 %",,
200058006,Grand Paris Sud-Est Avenir,Etablissement public territorial,"100,23","65,185","65,04 %",,
200058014,Grand-Orly Seine Bièvre,Etablissement public territorial,"123,162","115,507","93,78 %",,
200058097,Paris Terres d'Envol,Etablissement public territorial,"78,316","72,404","92,45 %",,
200058360,CC entre Beauce et Perche,Communauté de communes,"456,042","11,701","2,57 %",,
200058477,CA Val d'Yerres Val de Seine,Communauté d'agglomération,"66,934","40,743","60,87 %",,
200058485,CA Val Parisis,Communauté d'agglomération,"86,812","60,653","69,87 %",,
200058519,CA Saint Germain Boucles de Seine,Communauté d'agglomération,"141,685","74,332","52,46 %",,
200058782,CA de Saint-Quentin-en-Yvelines,Communauté d'agglomération,"120,098","64,723","53,89 %",,
200058790,Grand Paris Grand Est,Etablissement public territorial,"71,96","64,673","89,87 %",,
200059228,CA Grand Paris Sud Seine Essonne Sénart,Communauté d'agglomération,"222,33","110,971","49,91 %",,
200059392,CC Bièvre Isère,Communauté de communes,"698,025","42,538","6,09 %",,
200059400,CC Porte Océane du Limousin,Communauté de communes,"340,423","19,778","5,81 %",,
200059889,CU Grand Paris Seine et Oise,Communauté urbaine,"508,428","147,995","29,11 %",,
200060010,CA Mauges Communauté,Communauté d'agglomération,"1321,188","72,859","5,51 %",,
200065563,CC Normandie-Cabourg-Pays d'Auge,Communauté de communes,"279,258","27,16","9,73 %",,
200065589,CC Val ès Dunes,Communauté de communes,"166,918","12,86","7,70 %",,
200065597,CU Caen la Mer,Communauté urbaine,"364,309","119,001","32,66 %",,
200065647,CA Pays de Montbéliard Agglomération,Communauté d'agglomération,"453,069","82,068","18,11 %",,
200065787,CC de Pont-Audemer / Val de Risle,Communauté de communes,"330,749","16,603","5,02 %",,
200065886,CA Loire Forez Agglomération,Communauté d'agglomération,"1326,791","70,054","5,28 %",,
200065894,CC de Forez-Est,Communauté de communes,"556,53","44,643","8,02 %",,
200065928,CA Lannion-Trégor Communauté,Communauté d'agglomération,"919,41","91,242","9,92 %",,
200066009,CA Mulhouse Alsace Agglomération,Communauté d'agglomération,"439,667","113,909","25,91 %",,
200066017,CC Lieuvin Pays d'Auge,Communauté de communes,"412,615","5,894","1,43 %",,
200066025,CC Pays Rhin - Brisach,Communauté de communes,"329,069","25,505","7,75 %",,
200066033,CC Sud Alsace Largue,Communauté de communes,"230,506","17,084","7,41 %",,
200066041,CC Sundgau,Communauté de communes,"434,038","33,298","7,67 %",,
200066058,CA Saint-Louis Agglomération,Communauté d'agglomération,"270,016","47,24","17,50 %",,
200066108,CC des Portes de Meuse,Communauté de communes,"756,007","14,804","1,96 %",,
200066116,CC Argonne-Meuse,Communauté de communes,"493,982","8,774","1,78 %",,
200066124,CA Gaillac-Graulhet,Communauté d'agglomération,"1155,089","37,631","3,26 %",,
200066132,CC du Pays de Stenay et du Val Dunois,Communauté de communes,"442,122","10,21","2,31 %",,
200066140,CC de l'Aire à l'Argonne,Communauté de communes,"664,078",8,"1,20 %",,
200066157,CC de Commercy - Void - Vaucouleurs,Communauté de communes,"711,99","22,007","3,09 %",,
200066165,CC Val de Meuse - Voie Sacrée,Communauté de communes,"350,574","12,133","3,46 %",,
200066173,CC de Damvillers Spincourt,Communauté de communes,"496,476","8,631","1,74 %",,
200066223,CC Arize Lèze,Communauté de communes,"383,796","3,146","0,82 %",,
200066231,CC des Portes d'Ariège Pyrénées,Communauté de communes,"418,13","25,245","6,04 %",,
200066280,CC du Pithiverais,Communauté de communes,"491,734","21,416","4,36 %",,
200066322,CC Terres des Confluences,Communauté de communes,"450,103","30,452","6,77 %",,
200066330,CC Terres du Haut Berry,Communauté de communes,"694,627","18,444","2,66 %",,
200066348,CC du Minervois au Caroux,Communauté de communes,"783,413","8,96","1,14 %",,
200066355,CA Sète Agglopôle Méditerranée,Communauté d'agglomération,"372,967","53,283","14,29 %",,
200066363,CC de la Haute Ariège,Communauté de communes,"1130,422","9,439","0,83 %",,
200066371,CC Causses et Vallée de la Dordogne,Communauté de communes,"1294,378","37,177","2,87 %",,
200066389,CA Saint-Lô Agglo,Communauté d'agglomération,"827,057","42,048","5,08 %",,
200066405,CC Roumois Seine,Communauté de communes,"341,314","25,664","7,52 %",,
200066413,CC Intercom Bernay Terres de Normandie,Communauté de communes,"923,528","34,64","3,75 %",,
200066462,CC Interco Normandie Sud Eure,Communauté de communes,"813,332","27,322","3,36 %",,
200066512,CC Élan Limousin Avenir Nature,Communauté de communes,"619,416","22,38","3,61 %",,
200066520,CC Ouest Limousin,Communauté de communes,"422,845","6,902","1,63 %",,
200066553,CC des Monts de Lacaune et de la Montagne du Haut Languedoc,Communauté de communes,"795,033","5,759","0,72 %",,
200066561,CC Sidobre Vals et Plateaux,Communauté de communes,"464,158","7,556","1,63 %",,
200066587,CC des Monts du Lyonnais,Communauté de communes,"398,983","15,266","3,83 %",,
200066603,CC du Pays de Lubersac-Pompadour,Communauté de communes,"255,992","4,479","1,75 %",,
200066637,CC Hautes Terres Communauté,Communauté de communes,"905,384","10,33","1,14 %",,
200066645,CC Vézère-Monédières-Millesources,Communauté de communes,"548,351","5,343","0,97 %",,
200066652,CC Grand Sud Tarn et Garonne,Communauté de communes,"439,447","31,608","7,19 %",,
200066660,CC Saint-Flour Communauté,Communauté de communes,"1383,08","14,732","1,07 %",,
200066678,CC de la Châtaigneraie Cantalienne,Communauté de communes,"1074,564","12,882","1,20 %",,
200066710,CC Cingal-Suisse Normande,Communauté de communes,"388,229","16,081","4,14 %",,
200066728,CC Vallées de l'Orne et de l'Odon,Communauté de communes,"130,923","14,312","10,93 %",,
200066744,CC Haute-Corrèze Communauté,Communauté de communes,"1798,635","30,457","1,69 %",,
200066751,CC Xaintrie Val'Dordogne,Communauté de communes,"654,801","8,566","1,31 %",,
200066769,CC Midi Corrézien,Communauté de communes,"390,753","4,294","1,10 %",,
200066777,CC Ploërmel Communauté,Communauté de communes,"811,837","32,579","4,01 %",,
200066785,CC de l'Oust à Brocéliande,Communauté de communes,"642,479","32,587","5,07 %",,
200066793,CA du Grand Annecy,Communauté d'agglomération,"538,734","79,094","14,68 %",,
200066801,CC Isigny-Omaha Intercom,Communauté de communes,"590,599","16,315","2,76 %",,
200066819,CC du Volvestre,Communauté de communes,"410,051","22,824","5,57 %",,
200066827,CC du Pays de Honfleur-Beuzeville,Communauté de communes,"196,461","15,019","7,64 %",,
200066835,CC de Sézanne-Sud Ouest Marnais,Communauté de communes,"763,738","23,952","3,14 %",,
200066850,CC des Paysages de la Champagne,Communauté de communes,"583,189","16,819","2,88 %",,
200066868,CC Presqu'île de Crozon-Aulne maritime,Communauté de communes,"284,379","28,456","10,01 %",,
200066876,CA de Châlons-en-Champagne,Communauté d'agglomération,"811,587","60,079","7,40 %",,
200066884,CC Quercy Vert-Aveyron,Communauté de communes,"337,51","12,569","3,72 %",,
200066892,CC de Vendeuvre-Soulaines,Communauté de communes,"447,946","12,43","2,77 %",,
200066918,CA Alès Agglomération,Communauté d'agglomération,"925,024","83,772","9,06 %",,
200066926,CA Grand Auch Cœur de Gascogne,Communauté d'agglomération,"606,048","24,975","4,12 %",,
200066975,CC Senlis Sud Oise,Communauté de communes,"204,554","15,778","7,71 %",,
200067023,CC Coutances Mer et Bocage,Communauté de communes,"649,577","32,013","4,93 %",,
200067031,CC Côte Ouest Centre Manche,Communauté de communes,"489,392","16,898","3,45 %",,
200067064,CC Decazeville Communauté,Communauté de communes,"186,23","16,95","9,10 %",,
200067072,CC Haut-Léon Communauté,Communauté de communes,"248,693","22,229","8,94 %",,
200067080,CC Chablis Villages et Terroirs,Communauté de communes,"592,755","15,905","2,68 %",,
200067106,CA du Pays Basque,Communauté d'agglomération,"2990,522","166,78","5,58 %",,
200067114,CA de l'Auxerrois,Communauté d'agglomération,"437,929","41,2","9,41 %",,
200067122,CC du Pays de Lafrançaise,Communauté de communes,"220,782","5,806","2,63 %",,
200067130,CC de Puisaye-Forterre,Communauté de communes,"1764,412","27,53","1,56 %",,
200067155,"CC Saint Affricain, Roquefort, Sept Vallons",Communauté de communes,"432,247","7,953","1,84 %",,
200067163,"CC Monts, Rance et Rougier",Communauté de communes,"653,909","2,569","0,39 %",,
200067171,"CC Aubrac, Carladez et Viadène",Communauté de communes,"864,345","6,296","0,73 %",,
200067189,CC Creuse Sud Ouest,Communauté de communes,"918,101","9,549","1,04 %",,
200067197,CC Monts d'Arrée Communauté,Communauté de communes,"396,959","6,207","1,56 %",,
200067205,CA du Cotentin,Communauté d'agglomération,"1454,723","99,469","6,84 %",,
200067213,CU du Grand Reims,Communauté urbaine,"1435,921","113,94","7,93 %",,
200067239,CC des Luys en Béarn,Communauté de communes,"523,925","16,661","3,18 %",,
200067247,CC Pleyben-Châteaulin-Porzay,Communauté de communes,"426,972","17,34","4,06 %",,
200067254,CA Pau Béarn Pyrénées,Communauté d'agglomération,"343,375","77,704","22,63 %",,
200067262,CC du Haut Béarn,Communauté de communes,"1068,461","21,101","1,97 %",,
200067288,CC du Béarn des Gaves,Communauté de communes,"443,756","13,365","3,01 %",,
200067296,CC du Nord Est Béarn,Communauté de communes,"582,801","24,789","4,25 %",,
200067304,CC Serein et Armance,Communauté de communes,"468,515","20,693","4,42 %",,
200067320,CC Serre-Ponçon Val d'Avance,Communauté de communes,"244,106","3,157","1,29 %",,
200067346,CA Pornic Agglo Pays de Retz,Communauté d'agglomération,"526,386","55,879","10,62 %",,
200067361,CC Grand-Figeac,Communauté de communes,"1286,205","21,018","1,63 %",,
200067379,CC Côtes de Champagne et Val de Saulx,Communauté de communes,"452,629","12,601","2,78 %",,
200067429,CC Haut Nivernais-Val d'Yonne,Communauté de communes,"505,499","12,8","2,53 %",,
200067437,CA Provence-Alpes-Agglomération,Communauté d'agglomération,"1598,269","30,018","1,88 %",,
200067445,CC Buëch-Dévoluy,Communauté de communes,"718,403","6,397","0,89 %",,
200067452,CC du Guillestrois et du Queyras,Communauté de communes,"834,327","6,226","0,75 %",,
200067460,CC Loudéac Communauté - Bretagne Centre,Communauté de communes,"1183,615","40,719","3,44 %",,
200067478,CC Comtal Lot et Truyère,Communauté de communes,"645,936","12,998","2,01 %",,
200067486,CC Bouzonvillois-Trois Frontières,Communauté de communes,"330,091","17,822","5,40 %",,
200067502,CA Saint-Avold Synergie,Communauté d'agglomération,"347,763","47,781","13,74 %",,
200067544,CC Creuse Confluence,Communauté de communes,"993,593","14,597","1,47 %",,
200067551,CA Thonon Agglomération,Communauté d'agglomération,"239,118","49,668","20,77 %",,
200067593,CC Marche et Combraille en Aquitaine,Communauté de communes,"968,291","7,242","0,75 %",,
200067627,CC Billom Communauté,Communauté de communes,"278,476","11,994","4,31 %",,
200067635,CA Clisson Sèvre et Maine Agglo,Communauté d'agglomération,"312,005","26,819","8,60 %",,
200067643,CC Meurthe Mortagne Moselle,Communauté de communes,"272,17","11,301","4,15 %",,
200067650,CC Houve-Pays Boulageois,Communauté de communes,"252,785","17,12","6,77 %",,
200067668,"CC de la Cléry, du Betz et de l'Ouanne",Communauté de communes,"500,683","19,868","3,97 %",,
200067676,CC Canaux et Forêts en Gâtinais,Communauté de communes,"755,917","21,936","2,90 %",,
200067684,"CA Épernay, Coteaux et Plaine de Champagne",Communauté d'agglomération,"587,82","31,92","5,43 %",,
200067692,CC Tannay-Brinon-Corbigny,Communauté de communes,"769,374","9,906","1,29 %",,
200067700,CC Sud Nivernais,Communauté de communes,"530,898","18,75","3,53 %",,
200067742,CC Serre-Ponçon,Communauté de communes,"622,607","12,172","1,96 %",,
200067759,CC Vallées et Plateau d'Ardenne,Communauté de communes,"413,632","21,053","5,09 %",,
200067767,CC du Royans-Vercors,Communauté de communes,"477,753","4,923","1,03 %",,
200067783,CC de Hanau-La Petite Pierre,Communauté de communes,"360,681","18,981","5,26 %",,
200067791,CA L' Agglo Foix-Varilhes,Communauté d'agglomération,"446,752","21,501","4,81 %",,
200067817,CC Saône-Beaujolais,Communauté de communes,"539,293","20,047","3,72 %",,
200067825,CA Gap-Tallard-Durance,Communauté d'agglomération,"350,079","20,572","5,88 %",,
200067841,CC de l'Alsace Bossue,Communauté de communes,"384,347","23,568","6,13 %",,
200067866,CC Sèvre et Loire,Communauté de communes,"277,691","19,522","7,03 %",,
200067874,CA de Haguenau,Communauté d'agglomération,"402,962","48,899","12,13 %",,
200067882,CC Bazois Loire Morvan,Communauté de communes,"1215,565","14,962","1,23 %",,
200067890,CC Morvan Sommets et Grands Lacs,Communauté de communes,"975,028","8,492","0,87 %",,
200067908,CC Amognes Cœur du Nivernais,Communauté de communes,"654,175","3,819","0,58 %",,
200067916,CC Cœur de Loire,Communauté de communes,"719,854","23,413","3,25 %",,
200067924,CC du Canton d'Erstein,Communauté de communes,"272,553","27,043","9,92 %",,
200067932,CA Golfe du Morbihan - Vannes Agglomération,Communauté d'agglomération,"819,408","109,103","13,31 %",,
200067940,CC Couserans-Pyrénées,Communauté de communes,"1642,659","16,432","1,00 %",,
200067957,CC Haut Chemin-Pays de Pange,Communauté de communes,"255,717","9,406","3,68 %",,
200067965,CA de la Région de Compiègne et de la Basse Automne,Communauté d'agglomération,"264,913","37,53","14,17 %",,
200067973,CC Thelloise,Communauté de communes,"315,455","29,119","9,23 %",,
200067981,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,Communauté d'agglomération,"1122,629","63,752","5,68 %",,
200067999,CA du Beauvaisis,Communauté d'agglomération,"541,417","55,342","10,22 %",,
200068005,CC de l'Oise Picarde,Communauté de communes,"397,712","20,068","5,05 %",,
200068047,CA Creil Sud Oise,Communauté d'agglomération,"83,699","28,128","33,61 %",,
200068070,CC Loue-Lison,Communauté de communes,"668,803","22,378","3,35 %",,
200068088,CC Les Bertranges,Communauté de communes,"594,813","13,827","2,32 %",,
200068096,CC Champsaur-Valgaudemar,Communauté de communes,"795,643","6,494","0,82 %",,
200068104,CA de la Provence Verte,Communauté d'agglomération,"952,931","74,462","7,81 %",,
200068112,CC du Pays de Saverne,Communauté de communes,"245,069","24,917","10,17 %",,
200068120,CA Quimper Bretagne Occidentale,Communauté d'agglomération,"480,357","53,176","11,07 %",,
200068146,CC Sarrebourg Moselle Sud,Communauté de communes,"831,707","51,344","6,17 %",,
200068229,CC des Baronnies en Drôme Provençale,Communauté de communes,"1092,693","6,623","0,61 %",,
200068278,CC Berry Loire Puisaye,Communauté de communes,"551,551","14,559","2,64 %",,
200068294,CC des Deux Vallées Vertes,Communauté de communes,"391,479","13,118","3,35 %",,
200068369,CC de Mirecourt Dompaire,Communauté de communes,"476,802","21,12","4,43 %",,
200068377,CC de la Porte des Vosges Méridionales,Communauté de communes,"262,131","20,324","7,75 %",,
200068435,CC Cœur du Perche,Communauté de communes,"390,669","5,854","1,50 %",,
200068443,CC Andaine - Passais,Communauté de communes,"338,438","9,867","2,92 %",,
200068450,CC Terres d'Argentan Interco,Communauté de communes,"721,529","23,367","3,24 %",,
200068468,CC des Pays de L'Aigle,Communauté de communes,"550,727","14,116","2,56 %",,
200068484,CC des Causses à l'Aubrac,Communauté de communes,"741,938","14,227","1,92 %",,
200068500,CA de Cambrai,Communauté d'agglomération,"412,283","52,331","12,69 %",,
200068534,CC Terroir de Caux,Communauté de communes,"490,07","23,604","4,82 %",,
200068542,CC Les Balcons du Dauphiné,Communauté de communes,"620,996","62,074","10,00 %",,
200068559,CC de l'Ouest Vosgien,Communauté de communes,"731,278","25,15","3,44 %",,
200068567,CC Les Vals du Dauphiné,Communauté de communes,"349,596","39,413","11,27 %",,
200068625,CC Alpes-Provence-Verdon - Sources de Lumière,Communauté de communes,"1735,986","7,033","0,41 %",,
200068641,CA Le Muretain Agglo,Communauté d'agglomération,"321,11","73,002","22,73 %",,
200068658,CA de Chaumont,Communauté d'agglomération,"933,292","37,131","3,98 %",,
200068666,CA de Saint-Dizier Der et Blaise,Communauté d'agglomération,"943,167","48,901","5,18 %",,
200068674,CA Grand Lac,Communauté d'agglomération,"348,702","41,759","11,98 %",,
200068682,CC Terre d'Eau,Communauté de communes,"417,145","24,784","5,94 %",,
200068757,CA d'Épinal,Communauté d'agglomération,"1128,083","87,353","7,74 %",,
200068765,CC du Sisteronais-Buëch,Communauté de communes,"1494,473","13,94","0,93 %",,
200068773,CC des Vosges côté Sud Ouest,Communauté de communes,"696,291","18,749","2,69 %",,
200068781,CA Valence Romans Agglo,Communauté d'agglomération,"940,562","100,964","10,73 %",,
200068799,CC Intercom de la Vire au Noireau,Communauté de communes,"798,96","24,293","3,04 %",,
200068807,CC du Bassin Auterivain Haut-Garonnais,Communauté de communes,"314,825","18,75","5,96 %",,
200068815,CC Cœur de Garonne,Communauté de communes,"574,03","23,047","4,01 %",,
200068831,CC Pays Ségali Communauté,Communauté de communes,"583,363","11,419","1,96 %",,
200068856,CC des Hauts du Perche,Communauté de communes,"390,6","4,718","1,21 %",,
200068864,CC de la Mossig et du Vignoble,Communauté de communes,"176,149","14,564","8,27 %",,
200068872,CC Éguzon - Argenton - Vallée de la Creuse,Communauté de communes,"455,682","17,616","3,87 %",,
200068880,CC Champagne Boischauts,Communauté de communes,"717,089","7,071","0,99 %",,
200068914,CC La Rochefoucauld porte du Périgord,Communauté de communes,"470,662","20,897","4,44 %",,
200068922,CC du Confluent et des Coteaux de Prayssas,Communauté de communes,"381,545","10,033","2,63 %",,
200068930,CC Fumel Vallée du Lot,Communauté de communes,"453,065","21,008","4,64 %",,
200068948,CC Albret Communauté,Communauté de communes,"745,933","14,8","1,98 %",,
200068955,CC Anjou Loir et Sarthe,Communauté de communes,"457,563","24,296","5,31 %",,
200068963,CC Maine Cœur de Sarthe,Communauté de communes,"188,734","12,888","6,83 %",,
200068989,CA Dinan Agglomération,Communauté d'agglomération,"997,225","66,538","6,67 %",,
200068997,CA Arlysère,Communauté d'agglomération,"765,634","35,718","4,67 %",,
200069003,CC du Barséquanais en Champagne,Communauté de communes,"816,28","26,006","3,19 %",,
200069029,CA des Deux Baies en Montreuillois,Communauté d'agglomération,"403,81","54,468","13,49 %",,
200069037,CA du Pays de Saint-Omer,Communauté d'agglomération,"545,566","55,994","10,26 %",,
200069052,CA Grand Belfort,Communauté d'agglomération,"263,245","50,022","19,00 %",,
200069060,CC des Vosges du Sud,Communauté de communes,"174,621","12,054","6,90 %",,
200069086,CC Leff Armor Communauté,Communauté de communes,"436,951","22,757","5,21 %",,
200069094,CC Isle et Crempse en Périgord,Communauté de communes,"430,046","8,998","2,09 %",,
200069102,CC Randon - Margeride,Communauté de communes,"654,028","1,861","0,28 %",,
200069110,CA du Grand Chambéry,Communauté d'agglomération,"524,516","50,023","9,54 %",,
200069128,CC Mont Lozère,Communauté de communes,"719,473","2,634","0,37 %",,
200069136,CC des Cévennes au Mont Lozère,Communauté de communes,"619,111","2,069","0,33 %",,
200069144,CC des Hautes Terres de l'Aubrac,Communauté de communes,"548,674","3,397","0,62 %",,
200069151,CC Gorges Causses Cévennes,Communauté de communes,"909,451","4,124","0,45 %",,
200069169,CC Dômes Sancy Artense,Communauté de communes,"694,547","12,669","1,82 %",,
200069177,CC Mond'Arverne Communauté,Communauté de communes,"309,111","24,767","8,01 %",,
200069185,CC des Terres d'Apcher-Margeride-Aubrac,Communauté de communes,"436,822","6,832","1,56 %",,
200069193,CC de la Dombes,Communauté de communes,"636,203","25,313","3,98 %",,
200069227,CC Pays Fort Sancerrois Val de Loire,Communauté de communes,"695,402","16,017","2,30 %",,
200069235,CC du Haut Pays du Montreuillois,Communauté de communes,"422,645","16,785","3,97 %",,
200069250,CA Troyes Champagne Métropole,Communauté d'agglomération,"893,675","90,214","10,09 %",,
