SIREN,Nom de l'EPCI,Nature de l'EPCI,Superficie de l'EPCI (km²),Superficie des territoires artificialisés* (km²),Part de la superficie artificialisée,,* Les donnes proviennent de Corine Land Cover millésime 2018
249100157,CC des Deux Vallées,Communauté de communes,"188,973","14,264","7,55 %",,
249100546,CC du Val d'Essonne (CCVE),Communauté de communes,"194,033","36,104","18,61 %",,
249100553,CC Entre Juine et Renarde (CCEJR),Communauté de communes,"120,943","15,88","13,13 %",,
249100595,CC Le Dourdannais en Hurepoix (CCDH),Communauté de communes,"144,313","13,188","9,14 %",,
249500109,CA de Cergy-Pontoise,Communauté d'agglomération,"87,051","51,353","58,99 %",,
249500430,CC Sausseron Impressionnistes,Communauté de communes,"120,248","11,109","9,24 %",,
249500455,CC de la Vallée de l'Oise et des Trois Forêts,Communauté de communes,"75,342","17,136","22,74 %",,
249500489,CC du Haut Val d'Oise,Communauté de communes,"49,016","15,182","30,97 %",,
249500513,CC du Vexin-Val de Seine,Communauté de communes,"201,836","11,195","5,55 %",,
242000503,CC Celavu-Prunelli,Communauté de communes,"381,188","6,016","1,58 %",,
242020105,CC de Calvi Balagne,Communauté de communes,"564,144","11,736","2,08 %",,
200034205,CC de la Costa Verde,Communauté de communes,"184,476","8,735","4,74 %",,
200033827,CC de Fium'Orbu Castellu,Communauté de communes,"647,207","18,289","2,83 %",,
200073104,CC de l'Île-Rousse - Balagne,Communauté de communes,"389,722","6,686","1,72 %",,
200073252,CC de la Castagniccia-Casinca,Communauté de communes,"234,251","6,085","2,60 %",,
200038958,CC de la Pieve de l'Ornano et du Taravo,Communauté de communes,"654,708","13,312","2,03 %",,
200036499,CC de Marana-Golo,Communauté de communes,"181,662","19,9","10,95 %",,
200073120,CC Nebbiu - Conca d'Oro,Communauté de communes,"387,853","6,203","1,60 %",,
200015162,CC de l'Oriente,Communauté de communes,"472,707","5,859","1,24 %",,
200073138,CC Pasquale Paoli,Communauté de communes,"906,791","2,429","0,27 %",,
242010130,CC du Sartenais Valinco Taravo,Communauté de communes,"525,721","10,282","1,96 %",,
200067049,CC Spelunca-Liamone,Communauté de communes,"918,309","8,397","0,91 %",,
200040764,CC du Sud Corse,Communauté de communes,"584,844","27,59","4,72 %",,
242020071,CC du Centre Corse,Communauté de communes,"360,435","4,71","1,31 %",,
200042943,CC du Cap Corse,Communauté de communes,"307,328","6,086","1,98 %",,
242010056,CA du Pays Ajaccien,Communauté d'agglomération,"270,03","33,014","12,23 %",,
242000354,CA de Bastia,Communauté d'agglomération,"69,221","16,002","23,12 %",,
242000495,CC de l'Alta Rocca,Communauté de communes,"680,934","14,438","2,12 %",,
