Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI (2025); ; 
Code;Libellé;Indicateur de dépendance économique 2022
200067981;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;136
200067999;CA du Beauvaisis;99
200068005;CC de l'Oise Picarde;99
200068047;CA Creil Sud Oise;100
200068070;CC Loue-Lison;117
200068088;CC Les Bertranges;133
200068096;CC Champsaur-Valgaudemar;130
200068104;CA de la Provence Verte;113
200068112;CC du Pays de Saverne;103
200068120;CA Quimper Bretagne Occidentale;103
200068146;CC Sarrebourg Moselle Sud;103
200068229;CC des Baronnies en Drôme Provençale;148
200068278;CC Berry Loire Puisaye;135
200068294;CC des Deux Vallées Vertes;116
200068369;CC de Mirecourt Dompaire;116
200068377;CC de la Porte des Vosges Méridionales;119
200068435;CC Coeur du Perche;127
200068443;CC Andaine - Passais;149
200068450;Terres d'Argentan Interco;126
200068468;CC des Pays de L'Aigle;124
200068484;CC des Causses à l'Aubrac;140
200068500;CA de Cambrai;110
200068534;CC Terroir de Caux;106
200068542;CC Les Balcons du Dauphiné;102
200068559;CC de l'Ouest Vosgien;121
200068567;CC Les Vals du Dauphiné;105
200068625;CC Alpes-Provence-Verdon "Sources de lumière";137
200068641;CA Le Muretain Agglo;95
200068658;CA de Chaumont;109
200068666;CA du Grand Saint-Dizier Der et Vallées;116
200068674;CA Grand Lac;105
200068682;CC Terre d'Eau;119
200068757;CA d'Epinal;108
200068765;CC du Sisteronais-Buëch;129
200068773;CC des Vosges côté Sud Ouest;133
200068781;CA Valence Romans Agglo;108
200068799;CC Intercom de la Vire au Noireau;124
200068807;CC du Bassin Auterivain Haut-Garonnais;100
200068815;CC Coeur de Garonne;107
200068831;Pays Ségali Communauté;121
200068856;CC des Hauts du Perche;136
200068864;CC de la Mossig et du Vignoble;102
200068872;CC Éguzon - Argenton - Vallée de la Creuse;137
200068880;CC Champagne Boischauts;112
200068914;CC La Rochefoucauld Porte du Périgord;127
200068922;CC du Confluent et des Coteaux de Prayssas;122
200068930;CC Fumel Vallée du Lot;150
200068948;CC Albret Communauté;138
200068955;CC Anjou Loir et Sarthe;108
200068963;CC Maine Coeur de Sarthe;107
200068989;CA Dinan Agglomération;128
200068997;CA Arlysère;108
200069003;CC du Barséquanais en Champagne;118
200069029;CA des Deux Baies en Montreuillois;123
200069037;CA du Pays de Saint-Omer;103
200069052;CA Grand Belfort;102
