Observatoire des territoires - ANCT; ; 
Référentiel géographique : Bassins de vie (2012); ; 
Code;Libellé;Distance moyenne entre le domicile et le travail selon la CSP
16015;Angoulême;19.4
16028;Barbezieux-Saint-Hilaire;25.1
16070;Chabanais;23.3
16073;Chalais;23
16078;Champniers;23.2
16085;Chasseneuil-sur-Bonnieure;22.9
16090;Châteauneuf-sur-Charente;19.6
16102;Cognac;16.7
16106;Confolens;18.1
16167;Jarnac;19.3
16192;Terres-de-Haute-Charente;15
16206;Mansle;29.8
16223;Montbron;20.7
16281;La Rochefoucauld-en-Angoumois;27.7
16286;Rouillac;26.4
16292;Ruffec;20.9
17003;Aigrefeuille-d'Aunis;26.6
17019;Ars-en-Ré;21.5
17024;Aulnay;29.6
17093;Le Château-d'Oléron;17.8
17131;Cozes;21.3
17140;Dolus-d'Oléron;14
17161;La Flotte;24.2
17168;Fouras;26.4
17172;Gémozac;22.9
17197;Jonzac;23.2
17218;Marans;26.3
17219;Marennes-Hiers-Brouage;22.1
17224;Matha;22.9
17240;Montendre;27.4
17241;Montguyon;25
17283;Pons;28.2
17299;Rochefort;24.7
17300;La Rochelle;21.8
17306;Royan;25.2
17347;Saint-Jean-d'Angély;24.1
17385;Saint-Pierre-d'Oléron;19.9
17397;Saint-Savinien;25
17415;Saintes;22.9
17421;Saujon;22.8
17434;Surgères;29.4
17452;La Tremblade;17.5
18003;Les Aix-d'Angillon;23.1
18015;Aubigny-sur-Nère;19.3
18033;Bourges;16.9
18057;Châteaumeillant;21.7
18087;Dun-sur-Auron;24.9
18108;La Guerche-sur-l'Aubois;28.2
18109;Henrichemont;20.4
18141;Mehun-sur-Yèvre;22.6
18197;Saint-Amand-Montrond;20.8
18207;Saint-Florent-sur-Cher;18.3
18241;Sancerre;21
18242;Sancoins;23.9
18279;Vierzon;23.1
19005;Allassac;24.7
19010;Argentat;20.6
19019;Beaulieu-sur-Dordogne;20.1
19028;Bort-les-Orgues;24.1
19031;Brive-la-Gaillarde;20
19073;Égletons;46.4
19121;Lubersac;19.3
19136;Meymac;27.3
19138;Meyssac;27.6
19148;Neuvic;30.2
19153;Objat;24.8
19269;Treignac;16.3
19272;Tulle;23.1
19275;Ussel;18.4
19276;Uzerche;26.2
21023;Arnay-le-Duc;22.5
21038;Auxonne;26
21054;Beaune;20.8
21154;Châtillon-sur-Seine;20.1
21231;Dijon;17.5
21292;Genlis;25.7
21317;Is-sur-Tille;28.7
21425;Montbard;20.6
21464;Nuits-Saint-Georges;22.5
21501;Pouilly-en-Auxois;26.6
21554;Saint-Jean-de-Losne;29.8
21584;Saulieu;26
21603;Semur-en-Auxois;24.4
21607;Seurre;31.8
21663;Venarey-les-Laumes;28.8
22004;Bégard;23.9
22007;Binic;33.4
22020;Broons;28.3
22025;Callac;20.3
22046;Le Mené;20.2
22050;Dinan;26.3
22054;Erquy;41.4
22070;Guingamp;24.4
22093;Lamballe-Armor;22.1
22113;Lannion;20.7
22121;Lanvollon;29.3
22136;Loudéac;16.9
22143;Matignon;26.1
22147;Merdrignac;26.5
22162;Paimpol;31.4
22172;Plancoët;25.2
22186;Pléneuf-Val-André;29
22194;Plestin-les-Grèves;28.7
22203;Plœuc-sur-Lié;27.1
22206;Châtelaudren-Plouagat;31.4
22207;Plouaret;31.6
22222;Plouha;29.6
22251;Pordic;23.6
22262;Quintin;20.9
22266;Rostrenen;20.8
22278;Saint-Brieuc;19.9
22362;Tréguier;20.2
23008;Aubusson;23.3
23013;Auzances;17.8
23030;Bourganeuf;19.4
23031;Boussac;27.7
23075;Dun-le-Palestel;19.1
23076;Évaux-les-Bains;21.8
23096;Guéret;20.9
23176;La Souterraine;26.8
24035;Belvès;23.3
24037;Bergerac;19.9
24064;Brantôme;22.2
24067;Le Bugue;23.1
24164;Excideuil;22.9
24167;Eymet;21.8
24223;Lalinde;21.3
24291;Montignac-Lascaux;25.5
24294;Montpon-Ménestérol;26.6
24299;Mussidan;29.9
24309;Neuvic;30.3
24311;Nontron;20.4
24322;Périgueux;17.4
24352;Ribérac;23.6
24354;La Roche-Chalais - Saint-Aigulin;28.2
24372;Saint-Astier;24.2
24396;Saint-Cyprien;23.6
24520;Sarlat-la-Canéda;19.6
24547;Terrasson-Lavilledieu;23.9
24551;Thiviers;22.9
24571;Vergt;26.2
25047;Baume-les-Dames;24.9
25056;Besançon;17.2
25315;L'Isle-sur-le-Doubs;24.1
25334;Levier;20.1
25356;Maîche;17
25388;Montbéliard;15.6
25411;Morteau;18.1
25434;Ornans;21.5
25462;Pontarlier;15.9
25463;Pont-de-Roide-Vermondans;17.7
25527;Saint-Vit;27.5
25532;Saône;22.1
25578;Valdahon;18.9
26037;Beaumont-lès-Valence;25.6
26063;Buis-les-Baronnies;28.1
26064;Chabeuil;25.2
26108;Crest;22.2
26113;Die;22.8
26114;Dieulefit;22.1
26116;Donzère;19.6
26165;Livron-sur-Drôme;23.8
26198;Montélimar;22.7
26220;Nyons;16.4
26235;Pierrelatte;15.9
26281;Romans-sur-Isère;21
26301;Saint-Donat-sur-l'Herbasse;20.4
26307;Saint-Jean-en-Royans;21.4
26324;Saint-Paul-Trois-Châteaux;24.5
26325;Saint-Rambert-d'Albon;28.5
26333;Saint-Vallier;19.8
26362;Valence;16.7
27016;Les Andelys;24.8
27051;Beaumont-le-Roger;24.5
27056;Bernay;28
27103;Bourg-Achard;29.2
27112;Breteuil;26
27116;Brionne;31.7
27165;Conches-en-Ouche;27.5
27198;Mesnils-sur-Iton;25.5
27226;Étrépagny;33.5
27229;Évreux;20.9
27230;Ézy-sur-Eure;37.3
27246;Fleury-sur-Andelle;25.2
27275;Gaillon;28.8
27284;Gisors;31.8
27375;Louviers;22.5
27428;Le Neubourg;23.4
27448;Pacy-sur-Eure;29.7
27467;Pont-Audemer;26.1
27469;Pont-de-l'Arche;21.5
27493;Romilly-sur-Andelle;22.5
27507;Saint-André-de-l'Eure;28.9
27679;Verneuil-sur-Avre;27
27681;Vernon;29.7
28015;Auneau;35.6
28051;Bonneval;25.7
28061;Brou;27
28085;Chartres;21.6
28088;Châteaudun;20.3
28089;Châteauneuf-en-Thymerais;27.5
28103;Cloyes-sur-le-Loir;31.7
28116;Courville-sur-Eure;27.5
28134;Dreux;27.7
28140;Épernon;35
28196;Illiers-Combray;25.9
28199;Janville;28.9
28214;La Loupe;27.6
28227;Maintenon;40.6
28279;Nogent-le-Roi;33.6
28280;Nogent-le-Rotrou;19.8
28348;Saint-Lubin-des-Joncherets - Nonancourt;31
28373;Senonches;26.3
28422;Voves;29.8
29004;Bannalec;24.3
29019;Brest;22
29020;Briec;23.7
29024;Carhaix-Plouguer;18
29026;Châteaulin;26.3
29027;Châteauneuf-du-Faou;22.3
29039;Concarneau;27.3
29042;Crozon;34.7
29046;Douarnenez;26.9
29053;Le Faou;31.3
29058;Fouesnant;27.6
29069;Guilers;22.8
29081;Huelgoat;19.9
29103;Landerneau;23.7
29105;Landivisiau;26.6
29124;Lesneven;26.4
29147;Mellac;28.2
29150;Moëlan-sur-Mer;32.9
29151;Morlaix;24.9
29158;Penmarch;32.6
29160;Plabennec;19.2
29162;Pleyben;24.1
29174;Plonéour-Lanvern;34.5
29178;Ploudalmézeau;29.5
29185;Plouescat;17.9
29195;Plouguerneau - Lannilis;30.2
29197;Plouhinec - Audierne;29.7
29199;Plouigneau;25.2
29217;Pont-Aven;27.1
29220;Pont-l'Abbé;26.5
29232;Quimper;18.8
29233;Quimperlé;23.9
29241;Rosporden;26.6
29259;Saint-Pol-de-Léon;21.8
29260;Saint-Renan;22.5
29274;Scaër;20.9
29302;Pont-de-Buis-lès-Quimerch;31.7
2A004;Ajaccio;9.4
2A130;Grosseto-Prugna;24.5
2A247;Porto-Vecchio;14.5
2A249;Propriano;12.9
2B033;Bastia;9.3
2B050;Calvi;9.9
2B096;Corte;17.6
2B123;Ghisonaccia;18.8
2B207;Penta-di-Casinca;17.1
30003;Aigues-Mortes;24.5
30007;Alès;24.5
30028;Bagnols-sur-Cèze;23
30032;Beaucaire;22.8
30034;Bellegarde;21
30037;Bessèges;32.7
30062;Calvisson;31.9
30132;La Grand-Combe;28
30141;Laudun-l'Ardoise;24
30155;Manduel;22.6
30189;Nîmes;21.7
30202;Pont-Saint-Esprit;25
30210;Quissac;26.7
30212;Remoulins;34
30221;Roquemaure;22.7
