Observatoire des territoires - ANCT; ; 
Référentiel géographique : Bassins de vie (2012); ; 
Code;Libellé;Distance moyenne entre le domicile et le travail selon la CSP
50237;La Haye-Pesnel;20.4
50341;Montebourg;24.3
50359;Mortain-Bocage;15.7
50394;Périers;21.2
50402;Les Pieux;21.4
50410;Pontorson;22.1
50484;Saint-Hilaire-du-Harcouët;18.7
50487;Saint-James;23.4
50502;Saint-Lô;22.6
50539;Saint-Pierre-Église;27.9
50551;Saint-Sauveur-le-Vicomte;27.8
50562;Saint-Vaast-la-Hougue;29.9
50582;Sourdeval;28.8
50601;Torigni-sur-Vire;21.8
50615;Valognes;21.8
50639;Villedieu-les-Poêles;24.4
51030;Ay;20.4
51108;Châlons-en-Champagne;20
51217;Dormans;22.5
51230;Épernay;16.7
51248;Fère-Champenoise;25.4
51250;Fismes;26.8
51380;Montmirail;31.4
51388;Mourmelon-le-Grand;20.3
51454;Reims;19.3
51507;Sainte-Menehould;23.7
51535;Sézanne;25.4
51559;Suippes;19
51612;Vertus;19.1
51649;Vitry-le-François;22.1
52060;Bourbonne-les-Bains;24.6
52093;Chalindrey;17.5
52121;Chaumont;17.7
52197;Fayl-Billot;22.9
52250;Joinville;23.2
52269;Langres;20.8
52331;Montier-en-Der;22.5
52332;Val-de-Meuse;23.8
52353;Nogent;24
52448;Saint-Dizier;18.8
52550;Wassy;22.6
53003;Ambrières-les-Vallées;18.5
53062;Château-Gontier-sur-Mayenne;16.7
53077;Cossé-le-Vivien;19.8
53084;Craon;14.7
53096;Ernée;20.6
53097;Évron;19.2
53107;Gorron;17.3
53127;Lassay-les-Châteaux;21.5
53130;Laval;17.6
53147;Mayenne;15.5
53152;Meslay-du-Maine;21.3
53185;Pré-en-Pail;19.7
53188;Renazé;20
53271;Villaines-la-Juhel;17.8
54039;Baccarat;31.1
54076;Blainville-sur-l'Eau;33.5
54099;Briey;21.6
54159;Dombasle-sur-Meurthe;22.4
54273;Jarny;26.7
54280;Jœuf;24
54322;Longuyon;19.1
54323;Longwy;19.3
54328;Ludres;21.3
54329;Lunéville;28.1
54395;Nancy;20.4
54397;Neuves-Maisons;22.7
54425;Piennes;26
54431;Pont-à-Mousson;28.6
54528;Toul;27
54563;Vézelise;29
54580;Villerupt;24.7
55029;Bar-le-Duc;17.4
55122;Commercy;25.7
55181;Étain;26.2
55291;Ligny-en-Barrois;21
55427;Revigny-sur-Ornain;22.6
55463;Saint-Mihiel;21.7
55502;Stenay;24
55533;Vaucouleurs;28.4
55545;Verdun;18.9
56003;Arradon;27.2
56007;Auray;29.4
56010;Baud;28.4
56013;Belz;29.8
56034;Carnac;27.9
56036;Caudan;21.6
56053;Elven;29.7
56057;Le Faouët;23
56061;La Gacilly;20.2
56066;Gourin;24.1
56067;Grand-Champ;24.1
56073;Guémené-sur-Scorff;22.7
56075;Guer;21.3
56083;Hennebont;27.1
56091;Josselin;26.4
56117;Locminé;22.7
56121;Lorient;22.4
56124;Malestroit;20
56127;Mauron;22.8
56143;Muzillac;29.8
56152;Le Palais;26.9
56164;Ploeren;27.6
56165;Ploërmel;24.4
56166;Plouay;26.1
56177;Pluvigner;25.3
56178;Pontivy;20
56184;Questembert;25.4
56186;Quiberon;26.4
56193;Riantec - Locmiquélic;28.7
56195;La Roche-Bernard;30.6
56240;Sarzeau;34.2
56251;Theix;28.5
56260;Vannes;23.3
57089;Bitche;24.3
57097;Boulay-Moselle;26
57106;Bouzonville;27
57132;Château-Salins;28.2
57160;Creutzwald;22.7
57177;Dieuze;29.2
57207;Farébersviller;27
57209;Faulquemont;26.1
57227;Forbach;23.3
57269;Guénange;20.8
57323;Hettange-Grande;24.5
57413;Longeville-lès-Saint-Avold;19.7
57463;Metz;19.9
57483;Morhange;24.1
57540;Phalsbourg;30.5
57556;Puttelange-aux-Lacs;25.9
57572;Rémilly;30.1
57589;Rohrbach-lès-Bitche;26.3
57606;Saint-Avold;22.7
57628;Sarralbe;23.4
57630;Sarrebourg;26
57631;Sarreguemines;19.2
57650;Sierck-les-Bains;29.6
57672;Thionville;19.1
58059;La Charité-sur-Loire;24.8
58062;Château-Chinon (Ville);18.2
58079;Clamecy;24.6
58083;Corbigny;25.3
58086;Cosne-Cours-sur-Loire;23.8
58095;Decize;23
58134;Imphy;21.7
58149;Luzy;17.9
58182;Moulins-Engilbert;18.2
58194;Nevers;16.6
58218;Prémery;33.7
58264;Saint-Pierre-le-Moûtier;23
59011;Annœullin;22.2
59015;Arleux;25.8
59017;Armentières;20.7
59036;Avesnes-sur-Helpe;20.2
59053;Bavay;26
59067;Bergues;22.2
59094;Bourbourg;20.2
59122;Cambrai;23.7
59135;Cassel;25.6
59136;Le Cateau-Cambrésis;26.7
59139;Caudry;21.9
59168;Cysoing;21.6
59178;Douai - Lens;22.2
59183;Dunkerque;19.2
59239;Flines-lez-Raches;27.3
59249;Fourmies;19.4
59295;Hazebrouck;24.3
59309;Hondschoote;32.6
59331;Landrecies;25.5
59350;Lille;17.6
59375;Marchiennes;31.9
59392;Maubeuge;21.6
59449;Orchies;26.5
59466;Pont-à-Marcq;25.1
59481;Le Quesnoy;26.4
59526;Saint-Amand-les-Eaux;25.8
59571;Solesmes;20.4
59580;Steenvoorde;26.9
59586;Templeuve-en-Pévèle;23.5
59606;Valenciennes;22.9
59653;Wavrin;20
59663;Wormhout;27.7
60057;Beauvais;22.2
60103;Bresles;26.2
60104;Breteuil;28.6
60141;Chantilly;30.1
60143;Chaumont-en-Vexin;34
60157;Clermont;27.3
60159;Compiègne;24.7
60175;Creil;28.8
60176;Crépy-en-Valois;34.9
60178;Crèvecœur-le-Grand;27.2
60188;Trosly-Breuil;27.5
60223;Estrées-Saint-Denis;31.3
60245;Formerie;29.4
60286;Grandvilliers;29.9
60395;Méru;35
60439;Mouy;28.5
60471;Noyon;26.8
60482;Orry-la-Ville;27.6
60500;Le Plessis-Belleville;31.3
60509;Pont-Sainte-Maxence;29.7
60533;Ressons-sur-Matz;35.8
60581;Saint-Just-en-Chaussée;30.6
60589;Saint-Maximin;19.5
60612;Senlis;25.8
61001;Alençon;21.5
61006;Argentan;23.7
61038;Bellême;27.8
61145;Domfront en Poiraie;20.5
61168;La Ferté-Macé;25.1
61169;Flers;18.1
61181;Gacé;25.6
61214;L'Aigle;22
61230;Longny les Villages;22.4
61293;Mortagne-au-Perche;25.1
61464;Sées;21.5
61483;Bagnoles de l'Orne Normandie;18.5
61486;Tinchebray;23.8
61508;Vimoutiers;19.9
62038;Ardres;24.2
62041;Arras;23.5
62045;Aubigny-en-Artois;25.8
62057;Audruicq;30.1
62060;Auxi-le-Château;22.5
62063;Avesnes-le-Comte;27.6
62080;Bapaume;27.8
62108;Berck;20.1
62119;Béthune;23.7
62160;Boulogne-sur-Mer;19.7
62193;Calais;21.5
62268;Desvres;21.1
62297;Éperlecques - Watten;25
62361;Frévent;24.1
62364;Fruges;18.7
62397;Guînes;24
62447;Hesdin;24.7
62534;Lumbres;26.3
62560;Marquise;22.5
62588;Montreuil;23.4
62604;Neufchâtel-Hardelot;27.2
62765;Saint-Omer;20.8
62767;Saint-Pol-sur-Ternoise;21.7
62861;Vimy;21.5
62893;Wimereux;26
63001;Aigueperse;27.6
63003;Ambert;16.8
63010;Arlanc;17.2
63038;Besse-et-Saint-Anastaise;14.8
63040;Billom;24.8
63047;La Bourboule;18.6
63050;Brassac-les-Mines;23.1
63113;Clermont-Ferrand;16.1
63125;Courpière;21
63178;Issoire;22.4
63195;Lezoux;26.8
63210;Maringues;25.2
63214;Veyre-Monton;22.4
63231;La Monnerie-le-Montel;19.7
63236;Mont-Dore;9.8
63283;Pontaumur;28.6
63284;Pont-du-Château;20.8
63285;Pontgibaud;24.3
63291;Puy-Guillaume;21.1
63300;Riom;20.8
63338;Saint-Éloy-les-Mines;21.8
63349;Saint-Georges-de-Mons;23.3
63354;Saint-Gervais-d'Auvergne;25.4
63430;Thiers;20.3
63457;Vic-le-Comte;28
64061;Artix;27.2
64062;Arudy;28.8
64063;Arzacq-Arraziguet;38.3
64102;Bayonne;28.2
64160;Cambo-les-Bains;24.2
64233;Garlin;30.9
64256;Hasparren;26.1
64331;Lembeye;33.7
64371;Mauléon-Licharre;19.9
64410;Mourenx;23.5
64416;Navarrenx;26.3
64422;Oloron-Sainte-Marie;20.8
64430;Orthez;28.7
64445;Pau;21.5
64453;Pontacq;20.7
64485;Saint-Jean-Pied-de-Port;20.4
64493;Saint-Palais;18.9
64499;Salies-de-Béarn;31
64513;Sauveterre-de-Béarn;27.8
65025;Argelès-Gazost;18.9
65031;Arreau;26.7
65059;Bagnères-de-Bigorre;19
65258;Lannemezan;23.6
65286;Lourdes;17.8
65295;Luz-Saint-Sauveur;23.3
65304;Maubourguet;28
65440;Tarbes;19.1
65447;Tournay;26.7
65452;Trie-sur-Baïse;22.6
65460;Vic-en-Bigorre;25.8
66003;Amélie-les-Bains-Palalda;34.4
66016;Banyuls-sur-Mer;22.4
66024;Le Boulou;21.3
66037;Canet-en-Roussillon;21.4
66049;Céret;23
66088;Ille-sur-Têt;27.1
66108;Millas;25.1
66124;Font-Romeu-Odeillo-Via;21.6
66136;Perpignan;18.5
66149;Prades;28.7
66171;Saint-Cyprien;23.8
66180;Saint-Laurent-de-la-Salanque;27.5
66210;Thuir;20.4
67021;Barr;26
67028;Benfeld;26.1
67061;Bouxwiller;25.2
67066;La Broque;28.4
67067;Brumath;23
67105;Drulingen;26.3
67130;Erstein;20.6
67152;Geispolsheim;20.6
67180;Haguenau;20.5
67202;Hochfelden;25.6
67222;Ingwiller;26
67281;Marckolsheim;20.9
67282;Marlenheim;22.3
67300;Molsheim;18.2
67348;Obernai;19.9
67372;Pfaffenhoffen;21.9
67388;Reichshoffen - Niederbronn-les-Bains;18.5
67411;Rosheim;19.7
67434;Sarre-Union;26.2
67437;Saverne;25.4
67462;Sélestat;22.8
67463;Seltz;26.7
67474;Soultz-sous-Forêts;20.5
67482;Strasbourg;16.3
67495;Truchtersheim;24
67507;Villé;30.2
67519;La Wantzenau;23.3
67520;Wasselonne;20
67544;Wissembourg;15
67550;Wœrth;22
68004;Altkirch;19.8
68063;Thann - Cernay;20.4
68066;Colmar;19.9
68068;Dannemarie;26
68082;Ensisheim;21
68112;Guebwiller;20.9
68162;Kaysersberg;23.8
68201;Masevaux;23.5
68224;Mulhouse;17.1
68226;Munster;17.9
68269;Ribeauvillé;19.9
68287;Rouffach;21.9
68292;Saint-Amarin;19.2
68297;Saint-Louis;18.9
68298;Sainte-Marie-aux-Mines;19.3
68309;Sierentz;24.2
68352;Neuf-Brisach;22.8
69006;Amplepuis;24.2
69010;L'Arbresle;24.6
69018;Beaujeu;23.6
69019;Belleville-en-Beaujolais;24.6
69024;Le Bois-d'Oingt;30.4
69066;Cours-la-Ville;22.4
69123;Lyon;21.3
69141;Mornant;22.7
69220;Saint-Laurent-de-Chamousset;20.9
69227;Saint-Martin-en-Haut;22.7
69238;Saint-Symphorien-sur-Coise;24.4
69243;Tarare;21.2
69248;Thizy-les-Bourgs;22.5
69287;Saint-Laurent-de-Mure;23.3
70120;Champagney - Ronchamp;24.6
70198;Dampierre-sur-Salon;24.6
70279;Gray;24.3
70285;Héricourt;20.8
70292;Jussey;20.4
70310;Lure;25.4
70311;Luxeuil-les-Bains;19.1
70334;Marnay;22.7
70421;Port-sur-Saône;20.8
70447;Rioz;26.7
70467;Saint-Loup-sur-Semouse;22.2
70550;Vesoul;17.5
70561;Villersexel;26
71014;Autun;16.8
71047;Bourbon-Lancy;14.9
71070;Buxy;29
71073;Chagny;20.6
71076;Chalon-sur-Saône;18.8
71090;La Chapelle-de-Guinchay - Crêches-sur-Saône;25.8
71106;Charolles;27.1
71120;Chauffailles;23.7
71133;La Clayette;23.1
71137;Cluny;24.7
71153;Le Creusot;20
71158;Cuisery;23.2
71176;Digoin;23.2
71192;Étang-sur-Arroux;20
71221;Givry;23.5
71230;Gueugnon;20.6
71263;Louhans;22
71270;Mâcon;19.9
71275;Marcigny;25.7
71306;Montceau-les-Mines;20.3
71310;Montchanin;24.9
71342;Paray-le-Monial;21.9
71351;Pierre-de-Bresse;28.8
71417;Saint-Gengoux-le-National;25.4
71419;Saint-Germain-du-Bois;25.8
71512;Sennecey-le-Grand;28.7
71543;Tournus;26.5
72029;Beaumont-sur-Sarthe;33.6
72039;Bonnétable;24.1
72054;Champagné;25.5
72068;La Chartre-sur-le-Loir;26.1
72071;Château-du-Loir;25.7
72089;Conlie;23.8
72090;Connerré;21.8
72124;Écommoy;26.3
72132;La Ferté-Bernard;17.5
72138;Fresnay-sur-Sarthe;28.3
72143;Le Grand-Lucé;27
72154;La Flèche;21.7
72168;Loué;26.7
72176;Le Lude;23.3
72180;Mamers;21.2
72181;Le Mans;20.7
72189;Marolles-les-Braults;22
72231;Parigné-l'Évêque;30.1
72264;Sablé-sur-Sarthe;19.1
72269;Saint-Calais;19.8
72334;Sillé-le-Guillaume;24
72346;La Suze-sur-Sarthe;22.5
72373;Vibraye;23
73006;Aime;15.8
73010;Entrelacs;22.4
73011;Albertville;18.8
73054;Bourg-Saint-Maurice;14
73055;Bozel;16.3
73065;Chambéry;20.5
73157;Modane;21.5
73171;Montmélian;22.8
73181;Moûtiers;16.6
73248;Saint-Jean-de-Maurienne;20.3
73261;Saint-Michel-de-Maurienne;19.1
73270;Saint-Pierre-d'Albigny;28.6
73303;Ugine;16.8
73330;Yenne;26.4
74001;Abondance;13.9
74010;Annecy;18.6
74012;Annemasse;16.7
74043;Bons-en-Chablais;18.7
74056;Chamonix-Mont-Blanc;16.3
74081;Cluses;15.1
74096;Cruseilles;23.3
74105;Douvaine;23.3
74123;Faverges;19.4
74191;Morzine;14.6
74225;Rumilly;20.8
74256;Sallanches;14.3
74258;Samoëns;13.4
74269;Seyssel;25.3
74276;Taninges;12.8
74280;Thônes;19.2
74281;Thonon-les-Bains;16.5
74311;Viuz-en-Sallaz;22.5
75056;Paris;17.5
76034;Val-de-Scie;32.2
76035;Aumale;21.2
76051;Bacqueville-en-Caux;34
76057;Barentin;21.8
76101;Blangy-sur-Bresle;20.2
76114;Bolbec;25.2
76146;Buchy;29.8
76159;Cany-Barville;24.5
76164;Rives-en-Seine;24
76196;Criquetot-l'Esneval;22
76217;Dieppe;20.8
76219;Doudeville;31.4
76222;Duclair;24.3
76255;Eu;20
76258;Fauville-en-Caux;24.8
76259;Fécamp;26.3
76276;Forges-les-Eaux;25.2
76302;Goderville;26.2
76312;Gournay-en-Bray;30.3
76351;Le Havre;16.7
76384;Lillebonne;21.3
76400;Luneray;22.6
76462;Neufchâtel-en-Bray;30
76482;Offranville;29.9
76540;Rouen;20.6
76647;Saint-Romain-de-Colbosc;23
76648;Saint-Saëns;30.1
76655;Saint-Valery-en-Caux;31.7
76752;Yerville;32.9
76758;Yvetot;27.7
77037;Bois-le-Roi;36.8
77051;Bray-sur-Seine;39.8
77053;Brie-Comte-Robert;22.9
77079;Champagne-sur-Seine;37
77088;La Chapelle-la-Reine;29
77100;Le Châtelet-en-Brie;28.6
77118;Claye-Souilly;25.5
77131;Coulommiers;32.4
77153;Dammartin-en-Goële;27.2
77171;Esbly;29
77182;La Ferté-Gaucher;36.6
77183;La Ferté-sous-Jouarre;41.9
77186;Fontainebleau;34
77192;Fontenay-Trésigny;32.3
77257;Lizy-sur-Ourcq;38.6
77284;Meaux;29
77305;Montereau-Fault-Yonne;35.8
77317;Mormant;35.2
77327;Nangis;41
77333;Nemours;34.1
77379;Provins;36.2
77393;Rozay-en-Brie;35.7
77437;Saint-Soupplets;30.7
77449;Serris;25.1
77458;Souppes-sur-Loing;37.9
77470;Gretz-Armainvilliers;27.4
78217;Épône;26.5
78220;Les Essarts-le-Roi;23.4
78265;Garancières - La Queue-les-Yvelines;29.3
78310;Houdan;34.3
78380;Maule;27.5
78420;Montfort-l'Amaury;22.4
78455;Noisy-le-Roi;23.1
78486;Le Perray-en-Yvelines;24.4
78517;Rambouillet;32.4
78531;Rosny-sur-Seine;32.4
78537;Saint-Arnoult-en-Yvelines;31.4
79005;Airvault;22.9
79048;La Crèche;21.9
79049;Bressuire;16.7
79057;Brioux-sur-Boutonne;21.3
79061;Celles-sur-Belle;22.5
79062;Cerizay;19
79079;Mauléon;18.4
79083;Chef-Boutonne;20
79101;Coulonges-sur-l'Autize;24.6
79174;Melle;20.3
79179;Moncoutant-sur-Sèvre;17.9
79184;La Mothe-Saint-Héray;22.1
79191;Niort;17.5
79195;Nueil-les-Aubiers;19.6
79202;Parthenay;18.4
79270;Saint-Maixent-l'École;19.6
79307;Sauzé-Vaussais;22.5
79311;Secondigny;21.1
79329;Thouars;18.4
80001;Abbeville;21.9
80016;Albert;21.3
80021;Amiens;20
80212;Corbie;20.1
80253;Doullens;24.2
80308;Feuquières-en-Vimeu - Fressenneville;17
80318;Flixecourt;25.9
80368;Friville-Escarbotin;17.3
80373;Gamaches;21.2
80410;Ham;23.7
80561;Montdidier;29.1
80570;Moreuil;27.5
80606;Oisemont;26.3
80620;Péronne;23.8
80630;Poix-de-Picardie;25.9
80680;Rosières-en-Santerre;27.9
80685;Roye;25.7
80688;Rue;25.5
80721;Saint-Valery-sur-Somme;26.5
80799;Villers-Bretonneux;24.4
81003;Alban;23.4
81004;Albi;20.4
81037;Brassac;19.3
81060;Carmaux;21.3
81065;Castres;19.4
81099;Gaillac;28.4
81105;Graulhet;27.9
81120;Labruguière;17.6
81124;Lacaune;16.5
81140;Lavaur;27.8
81163;Mazamet;17.1
81219;Puylaurens;27.6
81220;Rabastens;32.7
81222;Réalmont;20.8
81271;Saint-Sulpice-la-Pointe;30
81308;Valence-d'Albigeois;19.2
82013;Beaumont-de-Lomagne;26.8
82033;Castelsarrasin;25
82037;Caussade;24.2
82079;Labastide-Saint-Pierre;29.1
82087;Lafrançaise;27
82121;Montauban;21.6
82125;Montech;31.4
82134;Nègrepelisse;25.9
82155;Saint-Antonin-Noble-Val;28
82186;Valence;22.1
82190;Verdun-sur-Garonne;33
83007;Aups;43.2
83012;Barjols;31.2
83019;Bormes-les-Mimosas - Le Lavandou;28.7
83023;Brignoles;30.1
83032;Carcès;21.6
83036;Cavalaire-sur-Mer;29.9
83042;Cogolin;19.2
83050;Draguignan;24.7
83055;Fayence;31.2
83061;Fréjus;22
83064;Garéoult;37.7
83071;La Londe-les-Maures;30
83072;Lorgues;27.4
83073;Le Luc;26.9
83081;Montauroux;37.1
83091;Pierrefeu-du-Var;29.6
83092;Carnoules;39.7
83104;Rians;31.1
83106;Rocbaron;31.5
83107;Roquebrune-sur-Argens;28.1
83115;Sainte-Maxime;22.1
83116;Saint-Maximin-la-Sainte-Baume;37.1
83119;Saint-Tropez;24.6
83121;Salernes;28.4
83137;Toulon;21.5
83150;Vinon-sur-Verdon;31.2
84003;Apt;22.7
84007;Avignon;23.3
84019;Bollène;24.1
84026;Cadenet;32.6
84069;Malaucène;27.7
84089;Pertuis;25.6
84091;Piolenc;26.4
84123;Sault;20.2
84133;La Tour-d'Aigues;32.3
84137;Vaison-la-Romaine;20.2
84138;Valréas;20.8
85001;L'Aiguillon-sur-Mer;24.6
85003;Aizenay;22
85018;Beauvoir-sur-Mer;23.6
85035;Bretignolles-sur-Mer;25
85047;Challans;20.9
85051;Chantonnay;21.2
85059;La Châtaigneraie;17.1
85084;Essarts en Bocage;21.7
85092;Fontenay-le-Comte;21.7
85109;Les Herbiers;18.1
85113;L'Île-d'Yeu;N/A - résultat non disponible
85114;Jard-sur-Mer;22
85128;Luçon;24.2
85135;Mareuil-sur-Lay-Dissais;22.8
85146;Montaigu-Vendée;23
85151;Mortagne-sur-Sèvre;18.1
85152;La Mothe-Achard;21.5
85156;Moutiers-les-Mauxfaits;25.1
85163;Noirmoutier-en-l'Île;13.4
85178;Le Poiré-sur-Vie;23
85182;Pouzauges;17.9
85191;La Roche-sur-Yon;19
85194;Les Sables-d'Olonne;23.1
85215;Saint-Fulgent;19
85223;Sainte-Hermine;26
85226;Saint-Hilaire-de-Riez;23.7
85234;Saint-Jean-de-Monts;23.9
85288;Talmont-Saint-Hilaire;19.9
85294;La Tranche-sur-Mer;23.2
86066;Châtellerault;19.5
86070;Chauvigny;23.3
86078;Civray;17.8
86082;Couhé;35.3
86103;Gençay;26.3
86112;L'Isle-Jourdain;23.3
86128;Lencloître;22.1
86137;Loudun;21.9
86139;Lusignan;25.7
86140;Lussac-les-Châteaux;28.5
86160;Mirebeau;26.2
86165;Montmorillon;16.7
86177;Neuville-de-Poitou;25.6
86194;Poitiers;19.7
86207;La Roche-Posay;23.6
86293;Vivonne;27.2
86294;Vouillé;24.5
87001;Aixe-sur-Vienne;19.5
87002;Ambazac;26.3
87011;Bellac;21.4
87014;Bessines-sur-Gartempe;25.9
87032;Châlus;24
87040;Châteauneuf-la-Forêt;25.1
87041;Châteauponsac;20
87059;Le Dorat;20.7
87064;Eymoutiers;29.2
87085;Limoges;17.1
87106;Nexon;25.3
87126;Rochechouart;20.6
87154;Saint-Junien;18.8
87161;Saint-Léonard-de-Noblat;21.5
87187;Saint-Yrieix-la-Perche;17.1
88075;La Bresse;20.9
88078;Bruyères;22.3
88090;Charmes;28.4
88095;Châtenois;22.1
88114;Contrexéville;21
88160;Épinal;19.5
88196;Gérardmer;18.9
88304;Mirecourt;28.7
88319;Moyenmoutier;21.6
88321;Neufchâteau;25.2
88367;Rambervillers;24.7
88372;Raon-l'Étape;25.1
88383;Remiremont;21.8
88413;Saint-Dié-des-Vosges;22.7
88468;Le Thillot;21.8
88516;Vittel;18.5
89003;Aillant-sur-Tholon;26.3
89024;Auxerre;18.3
89025;Avallon;21.6
89068;Chablis;13.8
89086;Charny;33
89206;Joigny;27.5
89257;Migennes;21.3
89309;Pont-sur-Yonne;33.3
89345;Saint-Florentin;21.5
89368;Saint-Sauveur-en-Puisaye;27.8
89387;Sens;25.3
89418;Tonnerre;23.8
89419;Toucy;24.7
89464;Villeneuve-sur-Yonne;22.5
90009;Beaucourt;22.3
90010;Belfort;19
90033;Delle;22.5
90052;Giromagny;23.1
91016;Angerville;36.2
91045;Ballancourt-sur-Essonne;29.5
91200;Dourdan;27.9
91223;Étampes;30.6
91226;Étréchy;29
91338;Limours;24.2
91405;Milly-la-Forêt;29.4
91540;Saint-Chéron;28.2
95250;Fosses;27.1
95351;Louvres;22.8
95355;Magny-en-Vexin;33
95370;Marines;31.6
95487;Persan - Beaumont-sur-Oise;28.5
95652;Viarmes;28.1
97101;Pointe-à-Pitre - Les Abymes;N/A - résultat non disponible
97105;Basse-Terre;N/A - résultat non disponible
97107;Capesterre-Belle-Eau;N/A - résultat non disponible
97112;Grand-Bourg;N/A - résultat non disponible
97129;Sainte-Rose;N/A - résultat non disponible
97209;Fort-de-France;7.9
97213;Le Lamentin;7.6
97222;Le Robert;13.2
97228;Sainte-Marie;13.4
97302;Cayenne;N/A - résultat non disponible
97304;Kourou;N/A - résultat non disponible
97311;Saint-Laurent-du-Maroni;N/A - résultat non disponible
97404;L'Étang-Salé;14.9
97405;Petite-Île;13.6
97409;Saint-André;11.7
97410;Saint-Benoît;14.7
97411;Saint-Denis;9.2
97412;Saint-Joseph;12.4
97413;Saint-Leu;18.8
97414;Saint-Louis;10.5
97415;Saint-Paul;9.2
97416;Saint-Pierre;10.7
