Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des emplois de la sphère présentielle et de la sphère productive 2021
200034031;CC des Monts d'Alban et du Villefranchois;57.8
200034049;CC Centre Tarn;62.3
200034056;CC du Lautrécois et du Pays d'Agout;60.3
200034064;CC du Cordais et du Causse;68.2
200034098;CC des Montagnes du Giffre;82.5
200034130;CC Gally Mauldre;67.3
200034197;CC de Montaigne Montravel et Gurson;50.6
200034205;CC de la Costa Verde;72.1
200034270;CC du Pays de Barr;55.5
200034379;CC Pays d'Uzès;71.8
200034411;CC du Piémont Cévenol;70.8
200034601;CC Causses Aigoual Cévennes;76.3
200034635;CC du Kochersberg;62.8
200034692;CA du Gard Rhodanien;59.2
200034700;CA Durance-Lubéron-Verdon Agglomération;70.2
200034718;CC de Vitry, Champagne et Der;61.1
200034726;CC Bastides de Lomagne;66.3
200034825;CA du Grand Guéret;81.1
200034833;CC des Bastides Dordogne-Périgord;63.3
200034874;CC Côtes de Meuse Woëvre;40.8
200034882;CC Pays du Mont-Blanc;77.6
200034957;CC du Frontonnais;53.9
200035087;CA Terre de Provence;51
200035103;CC de la Vallée de la Haute Sarthe;60.8
200035111;CC des Sources de l'Orne;68.8
200035129;CC de Cèze Cévennes;81.2
200035137;CC Marche Occitane - Val d'Anglin;63.4
200035202;CC Charlieu-Belmont;59.5
200035319;Estérel Côte d'Azur Agglomération;77.4
200035327;CC Cazals-Salviac;64.5
200035442;CC du Sud Artois;57.1
200035533;CC du Grand Saint Emilionnais;36.1
200035541;CC des Landes d'Armagnac;49.4
200035632;CC Armagnac Adour;49.5
200035707;CC Piège Lauragais Malepère;63
200035715;CA Carcassonne Agglo;77.3
200035723;CC Ventoux Sud;70.1
200035731;CA Roannais Agglomération;64
200035756;CC Astarac Arros en Gascogne;33.1
200035764;CC de la Beauce Loirétaine;54.9
200035772;CC du Pays du Saintois;67.4
200035814;CA Flers Agglo;61.7
200035848;CC du Châtillonnais en Berry;67.4
200035855;CC Castelnaudary Lauragais Audois;67.5
200035863;CC Région Lézignanaise, Corbières et Minervois;65.9
200035970;CC Vexin Centre;59.7
200036069;CC du Pays de Mortagne-au-Perche;62.9
200036077;CC du Golfe de Saint-Tropez;74.1
200036135;CC Coeur de France;72.1
200036150;CC des Hauts du Val de Saône;55.2
200036465;CC de Thann-Cernay;54
200036473;CA "Saintes - Grandes Rives - L'Agglo";74.4
200036499;CC de Marana-Golo;70.7
200036523;CC des Bastides en Haut Agenais Périgord;57.9
200036549;CC Val de Gray;58.1
200037059;CC de la Haute Somme (Combles - Péronne - Roisel);54.8
200037133;CC du Provinois;75.1
200038958;CC de la Pieve de l'Ornano et du Taravo;79.7
200038990;CC de Saint-Méen Montauban;50.5
200039022;CA Vitré Communauté;42.4
200039055;CC Ouche et Montagne;72.8
200039063;CC Forêts, Seine et Suzon;62.1
