Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des jeunes non insérés (ni en emploi, ni scolarisés - NEET) 2022
200070845;CC Orne Lorraine Confluences;16.6
200070852;CC Usses et Rhône;9.9
200070894;CC de Gevrey-Chambertin et de Nuits-Saint-Georges;10.1
200070902;CC Auxonne Pontailler Val de Saône;12.6
200070910;CC Tille et Venelle;14.6
200070928;CC Terre de Picardie;21.2
200070936;CC Ponthieu-Marquenterre;17.9
200070944;CC du Vimeu;18.3
200070951;CC du Territoire Nord Picardie;19.6
200070969;CC Avre Luce Noye;12.5
200070977;CC du Grand Roye;21.8
200070985;CC de l'Est de la Somme;22
200070993;CA de la Baie de Somme;22.1
200071017;CC des Terres d'Auxois;14.9
200071025;CC Haute-Provence - Pays de Banon;16.1
200071033;CC Jabron-Lure-Vançon-Durance;17.6
200071041;CC du Chaourçois et du Val d'Armance;17.7
200071058;CC Les Avant-Monts;19
200071066;CA de Saint-Dié-des-Vosges;21
200071074;CC Les Portes de l'Ile de France;14.3
200071082;CA Montluçon Communauté;16
200071116;CA ECLA (Espace Communautaire Lons Agglomération);16.1
200071140;CA Moulins Communauté;17.6
200071165;CA Les Sables d'Olonne Agglomération;14.8
200071173;CC du Pays Arnay Liernais;12.8
200071181;CC Somme Sud-Ouest;15.4
200071199;CC Plaine Limagne;18.5
200071207;CC de Pouilly-en-Auxois / Bligny-sur-Ouche;16.5
200071215;CC Chavanon Combrailles et Volcans;9.6
200071223;CC Nièvre et Somme;18.7
200071298;CC des Terres du Lauragais;11.2
200071314;CC des Hauts-Tolosans;12.4
200071363;CA Vichy Communauté;16.9
200071371;CC Bresse et Saône;12.1
200071389;CC Saint-Pourçain Sioule Limagne;16.3
200071405;CC Ardèche Rhône Coiron;16.6
200071413;CA Privas Centre Ardèche;16.4
200071454;CA Evreux Portes de Normandie;20.4
200071470;CC Entr'Allier Besbre et Loire;14.5
200071496;CC du Bocage Bourbonnais;14.9
200071504;CC des Collines du Perche Normand;15.5
200071512;CC Commentry Montmarault Néris Communauté;18.5
200071520;CC Domfront Tinchebray Interco;12.5
200071538;CC Terres de Bresse;15.2
200071546;CC Sud Retz Atlantique;12
200071553;CC Loire Layon Aubance;9.3
200071579;CC Bresse Louhannaise Intercom';16.7
200071587;CC Loches Sud Touraine;16.7
200071595;CC Arbois, Poligny, Salins, Coeur du Jura;11.3
200071629;CC Challans-Gois Communauté;13.4
200071645;CC Saint Cyr Mère Boitier entre Charolais et Mâconnais;11.5
200071652;CC du Pays Fertois et du Bocage Carrougien;11.2
200071678;CA Cholet Agglomération;12.7
200071751;CA du Bassin de Bourg-en-Bresse;13.8
200071769;CC Picardie des Châteaux;22.2
200071777;CC d'Arcis, Mailly, Ramerupt;13.6
200071785;CA Chauny Tergnier La Fère;23.6
200071819;CC du Périgord Nontronnais;14.7
200071827;CA du Grand Angoulême;17.3
200071843;CC du Vexin Normand;19.6
200071850;CC du Pithiverais-Gâtinais;15.4
200071868;CC des Vallées du Haut-Anjou;13.2
200071876;CA Saumur Val de Loire;17.4
200071884;CC Le Grand Charolais;14.7
200071892;CA du Saint-Quentinois;23.6
200071900;CC Vendée Grand Littoral;14
200071918;CC du Pays de Saint-Fulgent - Les Essarts;8.9
200071926;CC du Limouxin;20.8
200071934;CC du Pays de Fontenay-Vendée;16.7
200071942;CC Haut Limousin en Marche;18.7
200071967;CC Pays d'Evian Vallée d'Abondance;11.7
200071983;CC Thiérache Sambre et Oise;29.1
200071991;CC Retz en Valois;19.3
200072007;CC Montagne d'Ardèche;13.6
200072015;CA Annonay Rhône Agglo;13.7
200072023;CC Coeur de Charente;17.4
200072031;CA de la Région de Château-Thierry;21.5
200072049;CC de Charente Limousine;18.6
200072056;CC Porte du Jura;13.6
200072064;CC Val-de-Cher-Controis;19.3
200072072;CA Territoires Vendômois;15.4
200072080;CC du Pays de Saint-Eloy;15.2
200072098;CC Combrailles Sioule et Morge;11
200072106;CC Adour Madiran;17.2
200072130;CA du Pays de Meaux;18.7
200072304;CC Vallée de l'Ubaye - Serre-Ponçon;10.9
200072312;CA Seine Normandie Agglomération;16.6
200072320;CC Val de Gers;11
200072346;CA du Pays de Fontainebleau;12.5
200072452;CA Fougères Agglomération;15.3
200072460;CA de Béthune-Bruay, Artois-Lys Romane;20.4
200072478;CC Pays d'Opale;17.1
200072544;CC des Deux Morin;17.4
200072635;CC Pyrénées Haut Garonnaises;14.9
200072643;CC Coeur et Coteaux du Comminges;20.4
200072650;CC Touraine Vallée de l'Indre;12.7
200072668;CC Touraine Val de Vienne;15.5
200072676;CC Maine Saosnois;16.4
200072684;CC Le Gesnois Bilurien;12.8
200072692;CC des Vallées de la Braye et de l'Anille;15.8
200072700;CC Haute Sarthe Alpes Mancelles;14.5
200072718;CC de la Champagne Conlinoise et du Pays de Sillé;12.4
200072726;CC Châteaubriant-Derval;14
200072734;CC Estuaire et Sillon;9.6
200072825;CC Mirebellois et Fontenois;11.7
200072874;CC Val Briard;12.5
200072882;CC de Vie et Boulogne;10.7
200072981;CC Touraine Ouest Val de Loire;15.6
200072999;CC du Grand Langres;18.8
200073013;CC Carnelle Pays-de-France;11.9
200073096;CA Arche Agglo;12
200073104;CC de l'Ile-Rousse - Balagne;21.7
200073112;CC Sud Sarthe;14.7
200073120;CC Nebbiu - Conca d'Oro;19.4
200073138;CC Pasquale Paoli;13.7
200073146;CC Cagire Garonne Salat;17.4
200073161;CC Touraine-Est Vallées;10.8
200073237;CC de Gâtine-Racan;10.8
200073245;CC du Bassin d'Aubenas;18.7
200073252;CC de la Castagniccia-Casinca;16.4
200073260;CC Sud Vendée Littoral;14.6
200073344;CA Rambouillet Territoires;10.1
200073393;CC des Rives du Haut Allier;11.5
200073401;CC Mézenc-Loire-Meygal;10.4
200073419;CA du Puy-en-Velay;11.9
200073427;CC Marches du Velay-Rochebaron;10
200077014;CA Vienne Condrieu;13.6
200083392;CA Laval Agglomération;11.8
200084952;Le Havre Seine Métropole;19.2
200085728;CC Brioude Sud Auvergne;17.1
200085751;CC Entre Bièvre et Rhône;15.6
200089456;CA Seine-Eure;19.5
200090504;CA Coulommiers Pays de Brie;16.2
200090561;CC Vierzon-Sologne-Berry;23.3
200090579;CC Terre d'Émeraude Communauté;12.4
200090751;CA Grand Calais Terres et Mers;26.2
200093201;Métropole Européenne de Lille;14.4
200096634;CC des Hautes Vosges;13.5
200096642;CC Gérardmer Hautes Vosges;14.7
200096675;CC Baud Communauté;10.9
200096683;CC Centre Morbihan Communauté;12.1
200096956;CA Agglomération d'Agen;16
240100610;CC de la Côtière à Montluel;15.5
240100750;CA du Pays de Gex;12.4
240100800;CC de Miribel et du Plateau;12.6
240100883;CC de la Plaine de l'Ain;13.6
240100891;CC Terre Valserhône (CCTV);18.1
240200444;CC de la Thiérache du Centre;20.4
240200469;CC du Pays de la Serre;26.8
240200477;GrandSoissons Agglomération;23
240200493;CC du Pays du Vermandois;23.7
240200501;CC du Val de l'Aisne;17.5
240200519;CC du Canton d'Oulchy-le-Château;17.4
240200576;CC de la Champagne Picarde;14.2
240200584;CC du Canton de Charly-sur-Marne;18.7
240200592;CC du Chemin des Dames;18.1
240200600;CC des Trois Rivières;28.4
240200634;CC des Portes de la Thiérache;25.9
240300491;CC du Pays de Lapalisse;14
240300558;CC du Pays de Tronçais;20.2
240300566;CC du Val de Cher;15
240300657;CC du Pays d'Huriel;13.8
240400440;CC Pays Forcalquier et Montagne de Lure;21.7
240500439;CC du Briançonnais;10.2
240500462;CC du Pays des Ecrins;9.5
240600551;CA de la Riviera Française;14.4
240600585;CA de Sophia Antipolis;12.6
240600593;CC du Pays des Paillons;14.1
240700302;CC du Pays Beaume-Drobie;22.5
240700617;CC Val de Ligne;26.8
240700716;CC du Val d'Ay;10.5
240700815;CC Berg et Coiron;15.5
240700864;CC du Rhône aux Gorges de l'Ardèche;15.9
240800821;CC Ardenne, Rives de Meuse;23.5
240800847;CC des Portes du Luxembourg;19.6
240800862;CC des Crêtes Préardennaises;16
240800920;CC de l'Argonne Ardennaise;20.5
240900431;CC du Pays de Tarascon;17.6
240900464;CC du Pays d'Olmes;24.1
241000223;CC Forêts, Lacs, Terres en Champagne;10
241000405;CC de la Région de Bar sur Aube;22.7
241000447;CC du Pays d'Othe;18.3
241000488;CC de l'Orvin et de l'Ardusson;20.8
241100593;CA Le Grand Narbonne;21.6
241200187;CA Rodez Agglomération;10.8
241200542;CC du Réquistanais;13.2
241200567;CC de Millau Grands Causses;17.2
241200625;CC du Pays Rignacois;9.6
241200641;CC Conques-Marcillac;9.9
241200658;CC du Pays de Salars;9.2
241200674;CC du Plateau de Montbazens;10.9
241200765;CC de Lévézou Pareloup;9.8
241200807;CC Aveyron Bas Ségala Viaur;11.4
241200906;CC Larzac et Vallées;9.9
241200914;CC de la Muse et des Raspes du Tarn;13.7
241300375;CC Vallée des Baux-Alpilles (CC VBA);13.8
241300417;CA d'Arles-Crau-Camargue-Montagnette;19.4
241400415;CC Coeur Côte Fleurie;14.4
241400514;CC du Pays de Falaise;17.1
241400555;CC de Bayeux Intercom;15.1
241400860;CC Coeur de Nacre;11.6
241400878;CC Terre d'Auge;10.9
241500230;Aurillac Agglomération;12.5
241500255;CC du Pays Gentiane;12.8
241500271;CC du Pays de Mauriac;14.1
241501055;CC Sumène - Artense;13.8
241501089;CC Cère et Goul en Carladès;8.6
241501139;CC du Pays de Salers;9
241600303;CC du Rouillacais;14.8
241700434;CA de La Rochelle;14
241700459;CC de l'Ile de Ré;16.8
241700517;CC Coeur de Saintonge;13.8
241700624;CC de l'Ile d'Oléron;25.1
241700632;CC de Gémozac et de la Saintonge Viticole;16.4
241700640;CA Royan Atlantique;20.2
241700699;CC du Bassin de Marennes;20.7
241800374;CC la Septaine;15.6
241800424;CC le Dunois;16.3
241800432;CC les Trois Provinces;27.8
241800457;CC FerCher;19.4
241800507;CA Bourges Plus;16
241900133;CC de Ventadour - Egletons - Monédières;8.3
241927201;CA Tulle Agglo;13.8
241927243;CC du Pays d'Uzerche;26.2
242000354;CA de Bastia;16.4
242000495;CC de l'Alta Rocca;19.2
242000503;CC Celavu-Prunelli;13.8
242010056;CA du Pays Ajaccien;13.9
242010130;CC du Sartenais Valinco Taravo;19.5
242020071;CC du Centre Corse;5.2
242020105;CC de Calvi Balagne;16.2
242100154;CC des Vallées de la Tille et de l'Ignon;10.8
242100410;Dijon Métropole;11.6
242101434;CC du Pays Châtillonnais;22
242101442;CC de Saulieu-Morvan;17.3
242101459;CC du Pays d'Alésia et de la Seine;14.1
242101491;CC du Montbardois;18.5
242101509;CC Rives de Saône;13.7
242200715;CC du Kreiz-Breizh (CCKB);15.8
242300135;CC du Pays Sostranien;20.1
242320000;CC de Bénévent Grand Bourg;16.9
242320109;CC du Pays Dunois;15.5
242400752;CC Périgord-Limousin;17.1
242400935;CC du Pays de Saint Aulaye;24.5
242401024;CC Isle-Loue-Auvézère en Périgord;17.8
242500320;CC Entre Doubs et Loue;5.4
242500338;CC du Grand Pontarlier;14
242500361;CU Grand Besançon Métropole;12.2
242504116;CC du Val de Morteau;11.4
242504181;CC des Portes du Haut-Doubs;7.9
242504355;CC du Plateau de Russey;9.4
242504371;CC du Pays de Sancey-Belleherbe;7.6
242504447;CC du Doubs Baumois;10.9
242504488;CC Altitude 800;12
242504496;CC du Plateau de Frasne et du Val de Drugeon;10.7
242600252;CC du Val de Drôme en Biovallée;16.9
242600492;CC Dieulefit-Bourdeaux;13.8
242600534;CC du Diois;18.5
242700276;CC du Pays de Conches;16.4
242700607;CC du Pays du Neubourg;12.8
242852465;CC du Bonnevalais;15.7
242900074;CC du Pays d'Iroise;9.8
242900314;Brest Métropole;12.8
242900553;CC du Pays des Abers;10.3
242900561;CC de Haute Cornouaille;14.8
242900629;CC Cap Sizun - Pointe du Raz;15
242900645;CC Douarnenez Communauté;14.5
242900660;CC du Pays Fouesnantais;12.1
242900694;CA Quimperlé Communauté;14
242900702;CC du Pays Bigouden Sud;15.5
242900710;CC du Haut Pays Bigouden;12.3
242900744;CC Poher Communauté;17.7
242900751;CC du Pays de Landivisiau;11.6
242900769;CA Concarneau Cornouaille Agglomération;13.8
242900793;CC Communauté Lesneven Côte des Légendes;12.2
242900801;CA du Pays de Landerneau-Daoulas;11.4
242900835;CA Morlaix Communauté;14.5
243000270;CC du Pays Viganais;20
243000296;CC du Pays de Sommières;14.2
243000569;CC Rhony, Vistre, Vidourle;14.9
243000585;CC Beaucaire Terre d'Argence;20.1
243000593;CC de Petite Camargue;17.2
243000643;CA de Nîmes Métropole;18.2
243000650;CC Terre de Camargue;20.3
243000684;CC du Pont du Gard;17
243100518;Toulouse Métropole;13.7
243100567;CC Aux sources du Canal du Midi;19.2
243100633;CA du Sicoval;10.6
243100732;CC des Coteaux du Girou;9.2
243100773;CC Val'Aïgo;15.1
243100781;Le Grand Ouest Toulousain agglomération;12.8
243100815;CC des Coteaux Bellevue;9.5
243200391;CC de la Lomagne Gersoise;17.1
243200409;CC du Bas Armagnac;16.5
243200417;CC de la Tenarèze;16.8
243200425;CC Coeur d'Astarac en Gascogne;18.3
243200458;CC du Grand Armagnac;17.5
243200508;CC Bastides et Vallons du Gers;14.4
243200599;CC du Saves;12.6
243200607;CC Artagnan de Fezensac;15
243300316;Bordeaux Métropole;12.8
243300563;CA Bassin d'Arcachon Sud (COBAS);15.2
243300811;CC de l'Estuaire;20.7
243301165;CC Jalle-Eau-Bourde;9.7
243301181;CC Latitude Nord Gironde;19.3
243301215;CC du Créonnais;10.8
243301223;CC du Grand Cubzaguais;16.5
243301249;CC Les Rives de la Laurence;13.3
243301264;CC de Montesquieu;11.2
243301355;CC les Coteaux Bordelais;11.3
243301371;CC du Pays Foyen;20.8
243301389;CC Médullienne;12.7
243301397;CC du Fronsadais;14.1
243301405;CC du Val de l'Eyre;11.7
243301439;CC des Portes de l'Entre-Deux-Mers;11
243301447;CC Médoc Estuaire;13.9
243301454;CC Castillon/Pujols;19.1
243301504;CA du Bassin d'Arcachon Nord (COBAN);14.2
243400017;Montpellier Méditerranée Métropole;15.9
243400355;CC du Clermontais;19.9
243400470;CA du Pays de l'Or;12.7
243400488;CC la Domitienne;19.6
243400520;CA Lunel Agglo;18.4
243400694;CC Vallée de l'Hérault;16.6
243400736;CC des Cévennes Gangeoises et Suménoises;20.6
243400769;CA de Béziers-Méditerranée;26
243400819;CA Hérault-Méditerranée;23.9
243500139;Rennes Métropole;11.4
243500550;CC Montfort Communauté;10.2
243500618;CC Brocéliande Communauté;9.3
243500634;Roche aux Fées Communauté;10.7
243500659;CC Pays de Châteaugiron Communauté;7.5
243500667;CC Val d'Ille-Aubigné;8.7
243500725;CC Côte d'Emeraude;13.9
243500733;CC Bretagne Romantique;10.9
243500741;CA Redon Agglomération;14.8
243500774;CC Liffré-Cormier Communauté;8.8
243500782;CA du Pays de Saint Malo Agglomération;13.7
243600202;CC Chabris - Pays de Bazelle;22.2
243600236;CC du Pays d'Issoudun;17.3
243600293;CC Levroux Boischaut Champagne;10
243600301;CC Val de l'Indre - Brenne;15.7
243600319;CC Brenne - Val de Creuse;17.4
243600327;CA Châteauroux Métropole;18.3
243600343;CC Coeur de Brenne;11.4
243600350;CC de la Châtre et Sainte-Sévère;16.9
243700499;CC du Castelrenaudais;14.8
243700754;Tours Métropole Val de Loire;12.9
243700820;CC Autour de Chenonceaux Bléré-Val de Cher;12.2
243800604;CA Porte de l'Isère (CAPI);16.5
243800745;CC de l'Oisans;9.8
243800935;CC Lyon-Saint-Exupéry en Dauphiné;13.9
243800984;CA du Pays Voironnais;13
243801024;CC du Massif du Vercors;7.9
243801073;CC de Bièvre Est;11.6
243801255;CC Collines Isère Nord Communauté;9.9
243900354;CC de la Station des Rousses-Haut Jura;10
243900420;CC du Val d'Amour;11.5
243900479;CC Haut-Jura Arcade Communauté;12.4
243900560;CC Jura Nord;11.4
243900610;CC la Grandvallière;13.9
243901089;CC de la Plaine Jurassienne;16.2
244000543;CC de Mimizan;20
244000659;CC du Seignanx;12.8
244000675;CA du Grand Dax;17.4
244000691;CC du Pays Morcenais;17
244000766;CC du Pays Tarusate;15.5
244000774;CC du Pays de Villeneuve en Armagnac Landais;12.5
244000808;CA Mont de Marsan Agglomération;17.4
244000824;CC du Pays Grenadois;16.1
244000857;CC Côte Landes Nature;16.5
244000865;CC Maremne Adour Côte Sud;16.1
244000873;CC des Grands Lacs;16.6
244000881;CC Coteaux et Vallées des Luys;14.6
244100293;CC des Collines du Perche;11.2
244100780;CC de la Sologne des Etangs;12
244100798;CC du Grand Chambord;13.3
244100806;CC de la Sologne des Rivières;18.1
244200614;CC des Vals d'Aix et Isable;11.3
244200622;CC des Monts du Pilat;8.6
244200630;CC du Pays Entre Loire et Rhône;8
244200770;Saint-Étienne Métropole;15.7
244200820;CC du Pays d'Urfé;7.9
244200895;CC du Pilat Rhodanien;11
244300307;CC Haut Pays du Velay;10
244301016;CC des Sucs;10.5
244301099;CC Auzon Communauté;16.9
244301107;CC du Haut Lignon;9.6
244301123;CC des Pays de Cayres et de Pradelles;9.3
244301131;CC Loire et Semène;10.5
244400404;Nantes Métropole;11.8
244400438;Grand Lieu Communauté;10
244400453;CC du Pays de Blain;12.4
244400503;CC d'Erdre et Gesvres;8.9
244400537;CC de Nozay;10.5
244400552;CC du Pays d'Ancenis;11.6
244400586;CC du Sud Estuaire;13.7
244400610;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);12.8
244400644;CA de la Région Nazairienne et de l'Estuaire (CARENE);15.8
244500203;CA Montargoise et Rives du Loing (AME);23.5
244500211;CC Giennoises;20.9
244500419;CC des Quatre Vallées;18.2
244500427;CC des Loges;11.8
244500468;Orléans Métropole;14.8
244500484;CC de la Forêt;11.1
244500542;CC de la Plaine du Nord Loiret;16.9
244600433;CC de la Vallée du Lot et du Vignoble;17.6
244600482;CC Quercy - Bouriane;16.8
244600532;CC du Pays de Lalbenque-Limogne;14.9
244600573;CC du Causse de Labastide Murat;14.3
244700449;CC du Pays de Duras;18.2
244700464;CC du Pays de Lauzun;21.4
244701355;CC des Coteaux et Landes de Gascogne;17.2
244701405;CC Lot et Tolzac;16.8
244800405;CC Coeur de Lozère;13.5
244800470;CC du Gévaudan;15.8
244900015;CU Angers Loire Métropole;12.3
244900809;CC Anjou Bleu Communauté;12.9
244900882;CC Baugeois Vallée;13.9
245100615;CC de la Grande Vallée de la Marne;11.1
245100888;CC de la Brie Champenoise;15.5
245100979;CC du Sud Marnais;22.2
245200597;CC des Trois Forêts;15.4
245300223;CC du Pays de Meslay-Grez;11.2
245300355;CC de l'Ernée;8.9
245300389;CC du Bocage Mayennais;11.7
245300447;CC du Pays de Château-Gontier;11.3
245400171;CC Moselle et Madon;13.2
245400189;CC des Pays du Sel et du Vermois;14.7
245400262;Agglomération du Grand Longwy;19
245400510;CC du Pays de Colombey et du Sud Toulois;13.4
245400601;CC du Bassin de Pompey;13.7
245400676;Métropole du Grand Nancy;12.1
245400759;CC du Pays du Sanon;13.1
245500327;CC du Sammiellois;26.8
245501176;CC du Territoire de Fresnes-en-Woëvre;10.9
245501184;CC du Pays de Revigny-sur-Ornain;14.6
245501242;CC du Pays d'Étain;17.3
245501259;CC du Pays de Montmédy;20.3
245600440;CC Blavet Bellevue Océan;10.8
245600465;CC de Belle Ile en Mer;17.3
245614383;CC Questembert Communauté;12.6
245614417;CC Roi Morvan Communauté;16.3
245614433;CC Pontivy Communauté;15.5
245700133;CC du District Urbain de Faulquemont (DUF);13.8
245700372;CA de Forbach Porte de France;21.1
245700398;CC de Freyming-Merlebach;22.3
245700695;CC de Cattenom et Environs;10.8
245700950;CC du Pays de Phalsbourg;16.5
245701164;CC du Warndt;20.8
245701206;CC du Saulnois;14.6
245701222;CA du Val de Fensch;17.9
245701271;CC du Pays Orne Moselle;16.4
245701354;CC de l'Arc Mosellan;11.5
245701362;CA Portes de France-Thionville;12.9
245701404;CC du Pays Haut Val d'Alzette;15.3
245801063;CC Loire et Allier;9.8
245804406;CA de Nevers;17.7
245804497;CC du Nivernais Bourbonnais;14.5
245900428;CU de Dunkerque;21.3
245900758;CC Flandre Lys;14.7
245901038;CC du Pays Solesmois;16.8
245901152;CA Coeur d'Ostrevent;22.4
245901160;CA Valenciennes Métropole;21
246000129;CC du Liancourtois;19.6
246000376;CC du Clermontois;16.1
246000566;CC du Plateau Picard;18.5
246000582;CC des Sablons;16.4
246000707;CC du Vexin-Thelle;15.6
246000749;CC des Lisières de l'Oise;15.3
246000756;CC du Pays Noyonnais;22.5
246000764;CC de l'Aire Cantilienne;10.2
246000772;CC des Deux Vallées;18.4
246000848;CC de la Picardie Verte;19.1
246000855;CC du Pays des Sources;15.4
246000871;CC du Pays de Valois;15.1
246000897;CC de la Plaine d'Estrées;15.4
246000913;CC du Pays de Bray;18.2
246000921;CC des Pays d'Oise et d'Halatte;16.5
246100390;CC du Val d'Orne;11.8
246100663;CU d'Alençon;18
246200299;CA d'Hénin-Carvin;21.3
246200364;CA de Lens - Liévin;22.7
246200380;CC de la Terre des Deux Caps;15.2
246200729;CA du Boulonnais;20.9
246200844;CC de la Région d'Audruicq;15.3
246201016;CC du Pays de Lumbres;13.7
246300701;Clermont Auvergne Métropole;12.1
246300966;CC du Massif du Sancy;11.9
246301097;CC Entre Dore et Allier;16
246400337;CC de la Vallée d'Ossau;11.1
246401756;CC Pays de Nay;12.3
246500482;CC de la Haute-Bigorre;15.7
246500573;CC Aure Louron;8.3
246600282;CC Sud-Roussillon;21.5
246600373;CC du Vallespir;19.4
246600399;CC Pyrénées Cerdagne;16.2
246600415;CC Roussillon-Conflent;25.5
246600423;CC Agly Fenouillèdes;20
246600449;CC des Aspres;19
246600464;CC Pyrénées Catalanes;7.7
246600548;CC du Haut Vallespir;30.1
246700306;CC de la Vallée de la Bruche;14.7
246700488;Eurométropole de Strasbourg;13.7
246700744;CC des Portes de Rosheim;9.8
246700777;CC de la Vallée de Villé;12.5
246700843;CC de la Basse-Zorn;9.6
246700926;CC du Pays de Wissembourg;13.1
246700959;CC du Pays de la Zorn;8.4
246700967;CC de Sélestat;15.3
246701064;CC de la Région de Molsheim-Mutzig;12.5
246701080;CC du Pays de Sainte-Odile;10.1
246701098;CC du Pays de Niederbronn-les-Bains;16.6
246800205;CC de la Vallée de Saint-Amarin;14.1
246800395;CC du Val d'Argent;22.9
246800445;CC du Centre du Haut-Rhin;9.2
246800494;CC du Pays de Rouffach, Vignobles et Châteaux;11.6
246800551;CC de la Vallée de Kaysersberg;14.2
246800569;CC de la Région de Guebwiller;15.6
246800577;CC du Pays de Ribeauvillé;11.8
246800585;CC de la Vallée de Munster;13.2
246800676;CC de la Vallée de la Doller et du Soultzbach;12.6
246800726;CA Colmar Agglomération;16.1
246900575;CC de l'Est Lyonnais (CCEL);9.7
246900625;CC du Pays de l'Arbresle (CCPA);11.5
246900724;CC des Vallons du Lyonnais (CCVL);8.2
246900740;CC du Pays Mornantais (COPAMO);7.6
246900757;CC de la Vallée du Garon (CCVG);10.8
246900765;CC du Pays de l'Ozon;9.8
247000011;CA de Vesoul;17.3
247000367;CC des Combes;12.8
247000623;CC des Quatre Rivières;14
247000664;CC du Pays de Lure;18.2
247000698;CC des Monts de Gy;14.4
247000706;CC du Pays Riolais;8.1
247000714;CC du Pays de Villersexel;13.5
247000722;CC du Pays d'Héricourt;14.1
247000755;CC du Pays de Luxeuil;19.9
247000821;CC Rahin et Chérimont;17.4
247000854;CC des 1000 étangs;15.4
247100290;CU Le Creusot Montceau-les-Mines;18.4
247100589;CA Le Grand Chalon;16
247100639;CC de Marcigny;10.9
247100647;CC Bresse Nord Intercom';19
247103765;CC Entre Saône et Grosne;12.9
247103864;CC de Semur en Brionnais;8.8
247104094;CC Sud Côte Chalonnaise;15.7
247200090;CC du Pays Sabolien;13.2
247200132;CU Le Mans Métropole;16.6
247200348;CC du Pays Fléchois;12.9
247200421;CC du Sud Est Manceau;8
247200447;CC Orée de Bercé - Belinois;12.7
247200629;CC du Val de Sarthe;10.6
247200686;Communauté de communes du Perche Emeraude;14.2
247300015;CC des Vallées d'Aigueblanche;10.4
247300254;CC de Haute-Tarentaise;6.4
247300262;CC de Yenne;10.1
247300361;CC du Canton de La Chambre;9.4
247300452;CC Maurienne Galibier;8.1
247300528;CC Val Guiers;11.7
247300668;CC du Lac d'Aiguebelette (CCLA);10
247300676;CC Porte de Maurienne;27.5
247300817;CC Les Versants d'Aime;7
247400047;CC de la Vallée Verte;6.9
247400112;CC du Pays de Cruseilles;8.9
247400567;CC Fier et Usses;9.9
247400583;CC Arve et Salève;11.5
247400617;CC des Vallées de Thônes;5.5
247400666;CC des Quatre Rivières;10.1
247400682;CC du Haut Chablais;6.2
247400690;CC du Genevois;14.1
247400724;CC du Pays Rochois;11.6
247400740;CC Rumilly Terre de Savoie;11.4
247400773;CC des Sources du Lac d'Annecy;12.8
247600505;CC Campagne-de-Caux;12.8
247600588;CC des Villes Soeurs;20.7
247600604;CC de Londinières;14
247600620;CC Yvetot Normandie;13.1
247600646;CC Caux - Austreberthe;16.6
247600729;CC Falaises du Talou;14.5
247600786;CA de la Région Dieppoise;21.2
247700032;CC Moret Seine et Loing;15.5
247700057;CA Melun Val de Seine;18.2
247700065;CC du Pays de l'Ourcq;15.4
247700107;CC Pays de Montereau;18.1
247700339;CA Val d'Europe Agglomération;9.6
247700594;CA Marne et Gondoire;12.6
247700644;CC l'Orée de la Brie;13.4
247700701;CC Brie Nangissienne;15.3
247800550;CC du Pays Houdanais (CCPH);10.2
247800584;CA Versailles Grand Parc (CAVGP);11.3
247800618;CC Coeur d'Yvelines;9
247900798;CC du Thouarsais;15.3
248000499;CC du Val de Somme;12.4
248000531;CA Amiens Métropole;15.4
248000747;CC du Pays du Coquelicot;17.4
248100158;CC du Sor et de l'Agout;16.9
248100430;CA de Castres Mazamet;18.1
248100497;CC Val 81;14.4
248100737;CA de l'Albigeois (C2A);15.2
248100745;CC Thoré Montagne Noire;18.8
248200016;CC des Deux Rives;21.2
248200057;CC du Quercy Caussadais;19.7
248200065;CC de la Lomagne Tarn-et-Garonnaise;22.7
248200099;CA Grand Montauban;17.5
248200107;Quercy Rouergue et des Gorges de l'Aveyron;17.2
248300394;CA Sud Sainte Baume;14.2
248300410;CC de la Vallée du Gapeau;20.9
248300493;Dracénie Provence Verdon Agglomération;19.5
248300543;Métropole Toulon-Provence-Méditerranée;16.9
248300550;CC Coeur du Var;19.1
248400053;CA Ventoux-Comtat-Venaissin (COVE);19.3
248400160;CC Aygues-Ouvèze en Provence (CCAOP);15.6
248400236;Pays d'Orange en Provence;18.5
248400251;CA du Grand Avignon (COGA);19.4
248400285;Communauté de Communes Sud Luberon;14
248400293;CA des Sorgues du Comtat;17.1
248400319;CC du Pays des Sorgues et des Monts de Vaucluse;19.7
248400335;CC Vaison Ventoux;16.6
248500191;CC de l'Ile de Noirmoutier;14
248500258;CC Océan Marais de Monts;16.1
248500340;CC Pays de Chantonnay;10.6
248500415;CC du Pays de la Châtaigneraie;14
248500464;CC du Pays de Pouzauges;11.1
248500530;CC du Pays des Achards;10.3
248500563;CC Vendée, Sèvre, Autise;12.5
248500589;CA La Roche-sur-Yon - Agglomération;11.7
248500621;CC du Pays des Herbiers;11.4
248500662;CC du Pays de Mortagne;9.6
248600413;CA Grand Châtellerault;20.1
248600447;CC du Pays Loudunais;15.6
248700189;CC du Pays de Saint Yrieix;13.9
248719262;CC Gartempe - Saint Pardoux;12.9
248719288;CC du Val de Vienne;14.3
248719312;CU Limoges Métropole;14.1
248719338;CC Briance-Combade;12.2
248719353;CC des Portes de Vassivière;21.4
248719361;CC de Noblat;13.8
248900334;CA du Grand Sénonais;21.4
