Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des déplacements domicile-travail en voiture 2022
200068864;CC de la Mossig et du Vignoble;81.7
200068872;CC Éguzon - Argenton - Vallée de la Creuse;84.6
200068880;CC Champagne Boischauts;87
200068914;CC La Rochefoucauld Porte du Périgord;89.6
200068922;CC du Confluent et des Coteaux de Prayssas;87.9
200068930;CC Fumel Vallée du Lot;88.2
200068948;CC Albret Communauté;85.8
200068955;CC Anjou Loir et Sarthe;86.9
200068963;CC Maine Coeur de Sarthe;88.3
200068989;CA Dinan Agglomération;84.7
200068997;CA Arlysère;83
200069003;CC du Barséquanais en Champagne;83.6
200069029;CA des Deux Baies en Montreuillois;83.4
200069037;CA du Pays de Saint-Omer;84.2
200069052;CA Grand Belfort;76.6
200069060;CC des Vosges du Sud;87.7
200069086;CC Leff Armor Communauté;89.7
200069094;CC Isle et Crempse en Périgord;86.7
200069102;CC Randon - Margeride;80.7
200069110;CA du Grand Chambéry;68.7
200069128;CC Mont Lozère;85.3
200069136;CC des Cévennes au Mont Lozère;72.1
200069144;CC des Hautes Terres de l'Aubrac;71.7
200069151;CC Gorges Causses Cévennes;71.4
200069169;CC Dômes Sancy Artense;81.9
200069177;CC Mond'Arverne Communauté;89.6
200069185;CC des Terres d'Apcher-Margeride-Aubrac;80.1
200069193;CC de la Dombes;82.2
200069227;CC Pays Fort Sancerrois Val de Loire;81.7
200069235;CC du Haut Pays du Montreuillois;83.9
200069250;CA Troyes Champagne Métropole;77.9
200069268;CC Aubrac Lot Causses Tarn;82.6
200069300;CA Tarbes-Lourdes-Pyrénées;83.8
200069383;Ouest Aveyron Communauté;83
200069391;CA Lamballe Terre et Mer;87.6
200069409;CA Saint-Brieuc Armor Agglomération;82.8
200069417;CC Pays d'Orthe et Arrigans;90.1
200069425;CA Mont-Saint-Michel-Normandie;83.8
200069433;CC de Vezouze en Piémont;83.2
200069441;CC du Pays de Bitche;86.2
200069458;CC des Vallées d'Auge et du Merlerault;76.9
200069482;CC des Campagnes de l'Artois;88
200069516;CC Seulles Terre et Mer;87.5
200069524;CC Pré-Bocage Intercom;88.1
200069532;CA Lisieux Normandie;80.5
200069540;CC Norge et Tille;88.2
200069565;CC des Lacs et Montagnes du Haut-Doubs;87.8
200069581;CC Convergence Garonne;84.4
200069599;CC Rurales de l'Entre-Deux-Mers;86.7
200069615;CC Bresse Haute Seille;89.6
200069623;CC Champagnole Nozeroy Jura;84.3
200069631;CC Terres de Chalosse;88.1
200069649;CC Chalosse Tursan;88.9
200069656;CC Coeur Haute Lande;85.7
200069664;CC Meuse Rognon;85.4
200069672;CC du Ternois;84.8
200069698;CC Mâconnais - Tournugeois;81.5
200069722;CC Interrégionale Aumale - Blangy-sur-Bresle;85.6
200069730;CC des Quatre Rivières en Bray;82.8
200069748;CC Val de Gâtine;87.8
200069755;CC Mellois en Poitou;86.2
200069763;CC du Haut Poitou;91.2
200069821;CA Fécamp Caux Littoral Agglomération;81.4
200069839;CC de la Côte d'Albâtre;85.7
200069847;CC Plateau de Caux;88.5
200069854;CU du Grand Poitiers;75
200069912;CC des Forêts du Perche;87.1
200069953;CC des Portes Euréliennes d'Ile de France;74
200069961;CC du Grand Châteaudun;82.6
200069995;CC Médoc Coeur de Presqu'île;86.7
200070035;CC du Civraisien en Poitou;84.9
200070043;CC Vienne et Gartempe;81.4
200070068;CC Bray-Eawy;85
200070092;CA du Libournais;82.2
200070100;CC du Val de Sully;87.7
200070118;CC Val de Saône Centre;87.3
200070126;CC Seine et Aube;88.1
200070142;CC Lyons Andelle;89.2
200070159;CC Coeur de Beauce;83.8
200070167;CC Terres de Perche;78.4
200070183;CC des Terres du Val de Loire;84.9
200070233;CA Terres de Montaigu;86.5
200070282;CC Lavalette Tude Dronne;82.6
200070290;CC Coeur du Pays Haut;90.9
200070308;CA Mâconnais Beaujolais Agglomération;79.9
200070316;CC Entre Arroux, Loire et Somme;79.9
200070324;CC du Territoire de Lunéville à Baccarat;78.3
200070332;CC des Savoir-Faire;82.1
200070340;CC Haute Maurienne Vanoise;70.3
200070365;CC Corbières Salanque Méditerranée;87.7
200070373;CC Loir-Lucé-Bercé;82.6
200070407;CA Agglo Pays d'Issoire;83.3
200070431;CC Saint-Marcellin Vercors Isère Communauté;80.9
200070449;CC Inter-Caux-Vexin;89.3
200070464;CC Coeur de Maurienne Arvan;76.7
200070506;CC Pays de Nexon Monts de Chalus;87.1
200070514;CA du Grand Cognac;84.1
200070530;CC du Grand Autunois Morvan;81.1
200070548;CC Brionnais Sud Bourgogne;83.9
200070555;CC de la Veyle;87.7
200070563;CC Terres Touloises;85.1
200070571;CC Coeur de Berry;90.9
200070589;CC de Seille et Grand Couronné;90.1
200070647;CA Bergeracoise;83.3
200070662;CC Bretagne Porte de Loire Communauté;85.4
200070670;CC du Pays de Dol et de la Baie du Mont Saint-Michel;82.6
200070688;CC Couesnon Marches de Bretagne;86.2
200070712;CC Thiers Dore et Montagne;85.6
200070720;CC Médoc Atlantique;82.4
200070738;CC Mad et Moselle;86.1
200070746;CA Sarreguemines Confluences;87.9
200070753;CA Riom Limagne et Volcans;88.4
200070761;CC Ambert Livradois Forez;78.6
200070779;CC Brie des Rivières et Châteaux;81.1
200070787;CC du Plateau de Lannemezan;86.1
200070795;CC du Pays de Trie et du Magnoac;78.5
200070803;CC des Coteaux du Val d'Arros;91.5
200070811;CC Pyrénées Vallées des Gaves;77.4
200070829;CC Neste Barousse;88.9
200070845;CC Orne Lorraine Confluences;89.1
200070852;CC Usses et Rhône;86.5
200070894;CC de Gevrey-Chambertin et de Nuits-Saint-Georges;84.3
200070902;CC Auxonne Pontailler Val de Saône;82.6
