Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des logements sur-occupés hors studios d'une seule personne 2021
200000172;CC Faucigny - Glières;4
200000438;CC du Pays de Pontchâteau St-Gildas-des-Bois;1
200000545;CC des Portes de Romilly sur Seine;3
200000628;CC Rhône Lez Provence;2
200000800;CC Coeur de Sologne;2
200000925;CC de la Plaine Dijonnaise;2
200000933;CC Sauldre et Sologne;1
200004802;CC du Pays de Fayence;5
200005932;CC des Portes de Sologne;2
200005957;CC de la Région de Rambervillers;2
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;2
200006716;CC du Nogentais;2
200006930;CC du Haut Allier Margeride;1
200006971;CC du Perche;2
200007052;CC de la Marche Berrichonne;1
200007177;CC Pays de Nérondes;1
200010650;CA du Grand Dole;2
200010700;CA Caux Seine Agglo;2
200011773;CA Annemasse-Les Voirons-Agglomération;8
200011781;CC Portes du Berry entre Loire et Val d'Aubois;1
200013050;CC Sauer-Pechelbronn;2
200015162;CC de l'Oriente;5
200016905;CC du Pays de Lamastre;3
200017341;CC Lodévois et Larzac;3
200017846;CA Étampois Sud Essonne;7
200018083;CC de Desvres-Samer;1
200018166;CC Le Grésivaudan;2
200018406;CC du Romorantinais et du Monestois;2
200018521;CC du Val de Bouzanne;1
200018653;CA CAP Excellence;9
200022986;CC du Grand Pic Saint-Loup;1
200023075;CC du Pays de Maîche;1
200023125;CC Les Portes Briardes Entre Villes et Forêts;7
200023240;CC Pays de Nemours;4
200023299;CC Coeur de Tarentaise;5
200023307;CA du Grand Villeneuvois;2
200023372;CC de la Vallée de Chamonix-Mont-Blanc;4
200023414;Métropole Rouen Normandie;3
200023620;CC de la Gascogne Toulousaine;1
200023737;CA du Grand Cahors;2
200023778;CA du Pays de Saint-Gilles-Croix-de-Vie;1
200023794;CC de Blaye;3
200023919;CC Gâtinais Val de Loing;3
200026573;CC Haut-Jura Saint-Claude;2
200027027;CC Arc Sud Bretagne;1
200027076;CC Arnon Boischaut Cher;3
200027100;CC Méditerranée Porte des Maures;5
200027183;CU Perpignan Méditerranée Métropole;4
200027217;CC Sarlat-Périgord Noir;2
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;1
200027548;CC des Savanes;27
200029734;CC des 4B Sud Charente;1
200029999;CC Rives de l'Ain - Pays du Cerdon;2
200030195;Métropole Nice Côte d'Azur;12
200030385;CA de Blois ''Agglopolys'';3
200030435;CC d'Aire-sur-l'Adour;2
200030526;CC du Ried de Marckolsheim;2
200030633;CA du Caudrésis et du Catésis;2
200030658;CC du Trièves;1
200030674;CA Val de Garonne Agglomération;2
200032514;CC Berry-Loire-Vauvise;1
200033025;CA de Bar-le-Duc - Sud Meuse;1
200033090;CC Plaines et Monts de France;3
200033116;CC Cluses-Arve et Montagnes;6
200033173;CC de la Haute Vallée de Chevreuse;3
200033181;CA Chartres Métropole;3
200033298;CC des Coëvrons;1
200033579;CU d'Arras;2
200033827;CC de Fium'Orbu Castellu;4
200033868;CC des Ballons des Hautes-Vosges;2
200034023;CC Tarn-Agout;1
200034031;CC des Monts d'Alban et du Villefranchois;2
200034049;CC Centre Tarn;1
200034056;CC du Lautrécois et du Pays d'Agout;1
200034064;CC du Cordais et du Causse;3
200034098;CC des Montagnes du Giffre;2
200034130;CC Gally Mauldre;2
200034197;CC de Montaigne Montravel et Gurson;3
200034205;CC de la Costa Verde;4
200034270;CC du Pays de Barr;2
200034379;CC Pays d'Uzès;2
200034411;CC du Piémont Cévenol;2
200034601;CC Causses Aigoual Cévennes;2
200034635;CC du Kochersberg;1
200034692;CA du Gard Rhodanien;2
200034700;CA Durance-Lubéron-Verdon Agglomération;3
200034718;CC de Vitry, Champagne et Der;2
200034726;CC Bastides de Lomagne;1
200034825;CA du Grand Guéret;1
200034833;CC des Bastides Dordogne-Périgord;1
200034874;CC Côtes de Meuse Woëvre;1
200034882;CC Pays du Mont-Blanc;3
200034957;CC du Frontonnais;2
200035087;CA Terre de Provence;3
200035103;CC de la Vallée de la Haute Sarthe;1
200035111;CC des Sources de l'Orne;1
200035129;CC de Cèze Cévennes;3
200035137;CC Marche Occitane - Val d'Anglin;1
200035202;CC Charlieu-Belmont;1
200035319;Estérel Côte d'Azur Agglomération;6
200035327;CC Cazals-Salviac;1
200035442;CC du Sud Artois;2
200035533;CC du Grand Saint Emilionnais;1
200035541;CC des Landes d'Armagnac;1
200035632;CC Armagnac Adour;1
200035707;CC Piège Lauragais Malepère;1
200035715;CA Carcassonne Agglo;2
200035723;CC Ventoux Sud;2
200035731;CA Roannais Agglomération;2
200035756;CC Astarac Arros en Gascogne;1
200035764;CC de la Beauce Loirétaine;2
200035772;CC du Pays du Saintois;1
200035814;CA Flers Agglo;2
200035848;CC du Châtillonnais en Berry;1
200035855;CC Castelnaudary Lauragais Audois;3
200035863;CC Région Lézignanaise, Corbières et Minervois;2
200035970;CC Vexin Centre;3
200036069;CC du Pays de Mortagne-au-Perche;1
200036077;CC du Golfe de Saint-Tropez;8
200036135;CC Coeur de France;2
200036150;CC des Hauts du Val de Saône;1
200036465;CC de Thann-Cernay;2
200036473;CA "Saintes - Grandes Rives - L'Agglo";1
200036499;CC de Marana-Golo;5
200036523;CC des Bastides en Haut Agenais Périgord;1
200036549;CC Val de Gray;2
200037059;CC de la Haute Somme (Combles - Péronne - Roisel);2
200037133;CC du Provinois;5
200038958;CC de la Pieve de l'Ornano et du Taravo;5
200038990;CC de Saint-Méen Montauban;1
200039022;CA Vitré Communauté;1
200039055;CC Ouche et Montagne;1
200039063;CC Forêts, Seine et Suzon;0
200039204;CC de Lacq-Orthez;1
200039519;CC du Quercy Blanc;2
200039642;CC Le Tonnerrois en Bourgogne;2
200039709;CC du Serein;1
200039758;CC Avallon, Vézelay, Morvan;1
200039808;CC des Gorges de l'Ardèche;1
200039824;CC Ardèche des Sources et Volcans;2
200039832;CC Pays des Vans en Cévennes;4
200039857;CA du Pays de Grasse;7
200039865;Metz Métropole;3
200039907;CC du Sud Messin;1
200039915;CA Cannes Pays de Lérins;11
200039931;CC Alpes d'Azur;8
200039949;CC Rives de Moselle;2
200040038;CC Saône Doubs Bresse;1
200040095;CC Isle Vern Salembre en Périgord;2
200040111;CC Coeur de Chartreuse;1
200040137;CC des Lacs de Champagne;1
200040178;CC de l'Outre-Forêt;2
200040202;CC Provence Verdon;3
200040210;CC Lacs et Gorges du Verdon;3
200040244;CA du Bocage Bressuirais;2
200040251;CC Bassée-Montois;2
200040277;CA Agglo du Pays de Dreux;5
200040293;CC du Clunisois;1
200040350;CC Bugey Sud;2
200040384;CC Isle Double Landais;1
200040392;CA Le Grand Périgueux;2
200040400;CC du Périgord Ribéracois;1
200040418;CC du Pays de Serres en Quercy;2
200040426;CC du Val de l'Oise;1
200040442;CA Luberon Monts de Vaucluse;3
200040459;CA Montélimar Agglomération;3
200040475;LBN Communauté;1
200040491;CC Porte de Dromardèche;2
200040509;CC du Crestois et de Pays de Saillans Coeur de Drôme;2
200040558;CC Écueillé-Valençay;2
200040566;CA de l'Ouest Rhodanien;2
200040574;CC Beaujolais Pierres Dorées;1
200040590;CA Villefranche Beaujolais Saône;4
200040624;CC Pays d'Apt-Luberon;3
200040657;CC de la Matheysine;2
200040681;CC Enclave des Papes - Pays de Grignan;3
200040715;Grenoble-Alpes-Métropole;4
200040764;CC du Sud Corse;6
200040772;CC du Perche et Haut Vendômois;2
200040798;CC Val Vanoise;3
200040814;CC Briance Sud Haute Vienne;1
200040830;CC du Pays de Fénelon;1
200040889;CC de Portes Sud Périgord;2
200040905;CC Carmausin-Ségala;1
200040947;CA Coeur de Flandre;1
200040954;CC des Hauts de Flandre;1
200041010;CC Coeur de Savoie;2
200041051;CC Vallée de la Dordogne et Forêt Bessède;1
200041150;CC Terrassonnais Haut Périgord Noir;1
200041168;CC de la Vallée de l'Homme;2
200041283;CC de la Plaine du Rhin;2
200041317;CA du Niortais;1
200041325;CC du Pays Rhénan;2
200041333;CC de Parthenay-Gâtine;1
200041366;CC Rhône Crussol;1
200041416;CC Airvaudais-Val du Thouet;1
200041440;CC de Domme- Villefranche du Périgord;1
200041465;CC Val Eyrieux;2
200041499;CC Aunis Atlantique;1
200041507;CA La Riviéra du Levant;8
200041515;CC du Bassin de Pont-à-Mousson;2
200041523;CC de la Haute Saintonge;1
200041556;CC Portes de la Creuse en Marche;2
200041572;CC Dronne et Belle;1
200041614;CC Aunis Sud;2
200041622;CC Ardennes Thiérache;1
200041630;Ardenne Métropole;2
200041689;Vals de Saintonge Communauté;1
200041721;CC de la Haute Comté;1
200041762;CA Rochefort Océan;2
200041788;CA du Pays Nord Martinique;7
200041853;CC du Pays de Montbozon et du Chanois;1
200041861;CC du Triangle Vert;1
200041879;CC Terres de Saône;0
200041887;CC du Val Marnaysien;2
200041960;CC Pévèle-Carembault;1
200041994;CC Haut Val de Sèvre;1
200042000;CC Bruyères-Vallons des Vosges;1
200042174;CA Lorient Agglomération;2
200042182;CC du Mont des Avaloirs;1
200042190;CA de la Porte du Hainaut;3
200042372;CC des Coteaux Arrats Gimone;1
200042414;CC Bresse Revermont 71;1
200042463;CC de la Montagne Noire;1
200042497;CC Dombes Saône Vallée;2
200042604;CC de Granville, Terre et Mer;1
200042620;CC de la Région de Suippes;1
200042646;CC Grand Orb Communauté de Communes en Languedoc;2
200042653;CC Sud-Hérault;1
200042703;CC de l'Argonne Champenoise;0
200042729;CC de la Baie du Cotentin;1
200042901;CC Drôme Sud Provence;2
200042935;CA Haut-Bugey Agglomération;4
200042943;CC du Cap Corse;2
200042992;CC Perthois-Bocage et Der;0
200043016;CC Val de Charente;3
200043065;CC du Val d'Amboise;2
200043081;CC Chinon, Vienne et Loire;1
200043123;CC Auray Quiberon Terre Atlantique;1
200043156;CC du Pays Rethélois;1
200043172;CA du Bassin de Brive;2
200043263;CC Coeur de l'Avesnois;2
200043321;CC du Pays de Mormal;2
200043354;CC de Villedieu Intercom;1
200043396;CA Maubeuge Val de Sambre;2
200043404;CC du Sud Avesnois;2
200043438;CC de la Moivre à la Coole;1
200043495;CA du Pays de Laon;3
200043602;CC des Albères, de la Côte Vermeille et de l'Illibéris;3
200043628;CC des Vallées du Clain;1
200043693;CC Terre Lorraine du Longuyonnais;1
200043776;CC Pyrénées audoises;1
200043974;CC du Sud Gironde;2
200043982;CC du Bazadais;1
200043990;CC Vallons de Haute-Bretagne Communauté;1
200044014;CC Creuse Grand Sud;2
200044030;CC des 7 Vallées;2
200044048;CC Osartis Marquion;1
200044253;CC du Bassin de Joinville en Champagne;2
200044394;CC du Réolais en Sud Gironde;2
200044469;CC du Pays de Mirepoix;1
200044618;CA Douaisis Agglo;3
200044691;CA du Nord Grande Terre;7
200046977;Métropole de Lyon;7
200048551;CC du Pays de Craon;1
200049187;CA du Grand Verdun;2
200049211;CC Conflent-Canigó;3
200049484;CC Berry Grand Sud;2
200050532;CC de Petite-Terre;N/A - résultat non disponible
200054807;Métropole d'Aix-Marseille-Provence;7
200055481;CC Beauce Val de Loire;2
200055655;CA Roissy Pays de France;15
200055887;CC Mayenne Communauté;1
200056232;CA Communauté Paris-Saclay;7
200056380;CA Plaine Vallée;10
200057859;CA Coeur d'Essonne Agglomération;8
200057867;Plaine Commune;27
200057875;Est Ensemble;20
200057941;#ParisEstMarne&Bois;11
200057958;CA Paris - Vallée de la Marne;11
200057966;Vallée Sud-Grand Paris;10
200057974;Grand Paris Seine Ouest;10
200057982;Paris Ouest La Défense;11
200057990;Boucle Nord de Seine;17
200058006;Grand Paris Sud Est Avenir;13
200058014;Grand-Orly Seine Bièvre;15
200058097;Paris Terres d'Envol;20
200058360;CC Entre Beauce et Perche;2
200058477;CA Val d'Yerres Val de Seine;9
200058485;CA Val Parisis;9
