Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des surfaces selon l’occupation du sol 2018
200070712;CC Thiers Dore et Montagne;55.8
200070720;CC Médoc Atlantique;59.2
200070738;CC Mad et Moselle;33.8
200070746;CA Sarreguemines Confluences;23.2
200070753;CA Riom Limagne et Volcans;20.7
200070761;CC Ambert Livradois Forez;63
200070779;CC Brie des Rivières et Châteaux;28.5
200070787;CC du Plateau de Lannemezan;43.9
200070795;CC du Pays de Trie et du Magnoac;23.6
200070803;CC des Coteaux du Val d'Arros;33.9
200070811;CC Pyrénées Vallées des Gaves;90.7
200070829;CC Neste Barousse;68.8
200070845;CC Orne Lorraine Confluences;20.6
200070852;CC Usses et Rhône;44.8
200070894;CC de Gevrey-Chambertin et de Nuits-Saint-Georges;44.3
200070902;CC Auxonne Pontailler Val de Saône;36
200070910;CC Tille et Venelle;45.5
200070928;CC Terre de Picardie;1.8
200070936;CC Ponthieu-Marquenterre;14
200070944;CC du Vimeu;3.8
200070951;CC du Territoire Nord Picardie;9.1
